Date,Close,PHM
04/04/2014,19.49,-0.011224608
03/04/2014,19.71,0.001015229
02/04/2014,19.69,0.003051884
01/04/2014,19.63,0.022669698
31/03/2014,19.19,0.009424154
28/03/2014,19.01,0.017511724
27/03/2014,18.68,0.005906057
26/03/2014,18.57,-0.012309494
25/03/2014,18.8,-0.002125399
24/03/2014,18.84,-0.014229489
21/03/2014,19.11,-0.015061308
20/03/2014,19.4,-0.010766574
19/03/2014,19.61,0.006651342
18/03/2014,19.48,0.013436895
17/03/2014,19.22,0.003648688
14/03/2014,19.15,-0.001565354
13/03/2014,19.18,-0.025226563
12/03/2014,19.67,-0.013131502
11/03/2014,19.93,-0.003506139
10/03/2014,20,-0.015381102
07/03/2014,20.31,-0.013206355
06/03/2014,20.58,-0.00291121
05/03/2014,20.64,-0.012996573
04/03/2014,20.91,0.004793873
03/03/2014,20.81,-0.008612493
28/02/2014,20.99,-0.014191345
27/02/2014,21.29,0.001880584
26/02/2014,21.25,0.027189846
25/02/2014,20.68,0.012652237
24/02/2014,20.42,0.002451582
21/02/2014,20.37,0.017331456
20/02/2014,20.02,0.018145659
19/02/2014,19.66,-0.006590645
18/02/2014,19.79,-0.011555014
14/02/2014,20.02,0.010040245
13/02/2014,19.82,0.011161963
12/02/2014,19.6,-0.003565066
11/02/2014,19.67,0.016402213
10/02/2014,19.35,-0.022989518
07/02/2014,19.8,-0.016529302
06/02/2014,20.13,0.032309726
05/02/2014,19.49,-0.019309543
04/02/2014,19.87,0.009100164
03/02/2014,19.69,-0.03149473
31/01/2014,20.32,0.027439986
30/01/2014,19.77,0.017347374
29/01/2014,19.43,-0.001028807
28/01/2014,19.45,0.03878893
27/01/2014,18.71,-0.006924129
24/01/2014,18.84,-0.042095069
23/01/2014,19.65,0.00101833
22/01/2014,19.63,0.022148729
21/01/2014,19.2,-0.008298803
17/01/2014,19.36,-0.016901811
16/01/2014,19.69,0.011236073
15/01/2014,19.47,-0.002564762
14/01/2014,19.52,0.006166515
13/01/2014,19.4,-0.038427377
10/01/2014,20.16,0.018523684
