Date,Close,QEP
04/04/2014,31.38,0.01024993
03/04/2014,31.06,0.011658163
02/04/2014,30.7,0.01642073
01/04/2014,30.2,0.025487631
31/03/2014,29.44,-0.009129396
28/03/2014,29.71,0.010489015
27/03/2014,29.4,0.013698844
26/03/2014,29,0.001035018
25/03/2014,28.97,-0.002757672
24/03/2014,29.05,0.003102916
21/03/2014,28.96,-0.003791147
20/03/2014,29.07,0.011416834
19/03/2014,28.74,-0.009005949
18/03/2014,29,0.015288693
17/03/2014,28.56,0.003858977
14/03/2014,28.45,0.00211119
13/03/2014,28.39,-0.017112344
12/03/2014,28.88,0.009393007
11/03/2014,28.61,-0.01215926
10/03/2014,28.96,-0.012013187
07/03/2014,29.31,0.01408716
06/03/2014,28.9,0.002772005
05/03/2014,28.82,0.001388889
04/03/2014,28.78,0.012235776
03/03/2014,28.43,-0.017434193
28/02/2014,28.93,0.017434193
27/02/2014,28.43,-0.013277623
26/02/2014,28.81,-0.105638158
25/02/2014,32.02,-0.011180241
24/02/2014,32.38,0.022486894
21/02/2014,31.66,-0.006924799
20/02/2014,31.88,-0.0040695
19/02/2014,32.01,-0.00062461
18/02/2014,32.03,0.006577941
14/02/2014,31.82,0.002517308
13/02/2014,31.74,0.002207855
12/02/2014,31.67,0.003796272
11/02/2014,31.55,0.021141082
10/02/2014,30.89,0.008126162
07/02/2014,30.64,-0.004233844
06/02/2014,30.77,0.029685557
05/02/2014,29.87,-0.029360512
04/02/2014,30.76,0.020693791
03/02/2014,30.13,-0.024911154
31/01/2014,30.89,-0.012866051
30/01/2014,31.29,0.009633986
29/01/2014,30.99,0.012337819
28/01/2014,30.61,0.01116963
27/01/2014,30.27,-0.018655426
24/01/2014,30.84,-0.015444322
23/01/2014,31.32,0.000638774
22/01/2014,31.3,0.016103408
21/01/2014,30.8,0.026984197
17/01/2014,29.98,-0.005322701
16/01/2014,30.14,0.014706147
15/01/2014,29.7,-0.009716947
14/01/2014,29.99,0.02225311
13/01/2014,29.33,-0.007472861
10/01/2014,29.55,0.006791198
09/01/2014,29.35,-0.012527674
08/01/2014,29.72,-0.00134499
07/01/2014,29.76,-0.005696112
06/01/2014,29.93,-0.010304229
03/01/2014,30.24,0.001986098
02/01/2014,30.18,-0.015453209
31/12/2013,30.65,0.002286462
30/12/2013,30.58,-0.007168489
27/12/2013,30.8,0.010772097
26/12/2013,30.47,-0.016276401
24/12/2013,30.97,0.014964495
23/12/2013,30.51,0.016523839
20/12/2013,30.01,-0.014883688
19/12/2013,30.46,0.005926919
18/12/2013,30.28,-0.01018573
17/12/2013,30.59,-0.010083026
16/12/2013,30.9,0.006819315
13/12/2013,30.69,0.034474743
12/12/2013,29.65,-0.013733259
11/12/2013,30.06,-0.02301976
10/12/2013,30.76,-0.006480904
09/12/2013,30.96,-0.015066802
06/12/2013,31.43,-0.011388924
05/12/2013,31.79,-0.011882566
04/12/2013,32.17,-0.002793731
03/12/2013,32.26,-0.001858161
02/12/2013,32.32,0.009325526
29/11/2013,32.02,-0.002495323
27/11/2013,32.1,-0.019130482
26/11/2013,32.72,-0.00335622
25/11/2013,32.83,-0.017512525
22/11/2013,33.41,0.005402174
21/11/2013,33.23,0.009068986
20/11/2013,32.93,0.003955581
19/11/2013,32.8,0.004889985
18/11/2013,32.64,-0.025409716
15/11/2013,33.48,0.003590668
14/11/2013,33.36,0.025809843
13/11/2013,32.51,0.013938587
12/11/2013,32.06,-0.027078578
11/11/2013,32.94,0.015912208
08/11/2013,32.42,0.018994811
07/11/2013,31.81,-0.018994811
06/11/2013,32.42,-0.0261811
05/11/2013,33.28,-0.005095171
04/11/2013,33.45,0.019623271
01/11/2013,32.8,-0.007895577
31/10/2013,33.06,0.000302526
30/10/2013,33.05,-0.007235485
29/10/2013,33.29,0.011176676
28/10/2013,32.92,-0.006660636
25/10/2013,33.14,0.004536527
24/10/2013,32.99,0.010665955
23/10/2013,32.64,-0.007934128
