Date,Close,SRCL
04/04/2014,112.58,-0.014637419
03/04/2014,114.24,0.004298441
02/04/2014,113.75,8.7916E-05
01/04/2014,113.74,0.001055595
31/03/2014,113.62,0.014449966
28/03/2014,111.99,-0.001427679
27/03/2014,112.15,0.001695596
26/03/2014,111.96,-0.008537939
25/03/2014,112.92,0.004437746
24/03/2014,112.42,-0.017196949
21/03/2014,114.37,-8.74317E-05
20/03/2014,114.38,-0.008271346
19/03/2014,115.33,-0.000433445
18/03/2014,115.38,0.001908563
17/03/2014,115.16,0.000608035
14/03/2014,115.09,-0.004508027
13/03/2014,115.61,-0.001383007
12/03/2014,115.77,-0.004481607
11/03/2014,116.29,-0.003519468
10/03/2014,116.7,-0.008532475
07/03/2014,117.7,0.007847191
06/03/2014,116.78,0.008686359
05/03/2014,115.77,0.003287769
04/03/2014,115.39,0.0111548
03/03/2014,114.11,0.000964447
28/02/2014,114,0.008987636
27/02/2014,112.98,-0.00423954
26/02/2014,113.46,-0.009037131
25/02/2014,114.49,-0.006355861
24/02/2014,115.22,0.004959335
21/02/2014,114.65,-0.011619971
20/02/2014,115.99,0.004233451
19/02/2014,115.5,-0.007418304
18/02/2014,116.36,-0.004373372
14/02/2014,116.87,0.009629513
13/02/2014,115.75,0.000345632
12/02/2014,115.71,0.000172861
11/02/2014,115.69,-0.003106933
10/02/2014,116.05,-0.002409847
07/02/2014,116.33,0.013587989
06/02/2014,114.76,-0.014876593
05/02/2014,116.48,0.000257588
04/02/2014,116.45,0.004734246
03/02/2014,115.9,-0.009958874
31/01/2014,117.06,-0.003496358
30/01/2014,117.47,0.016912452
29/01/2014,115.5,0.002774408
28/01/2014,115.18,-0.00554114
27/01/2014,115.82,-0.004651572
24/01/2014,116.36,-0.015012223
23/01/2014,118.12,-0.012368169
22/01/2014,119.59,-0.000250826
21/01/2014,119.62,-0.00392141
17/01/2014,120.09,0.014172739
16/01/2014,118.4,0.005759799
15/01/2014,117.72,0.009988558
14/01/2014,116.55,0.013214339
13/01/2014,115.02,-0.003471623
10/01/2014,115.42,-0.005098745
09/01/2014,116.01,0.000862366
08/01/2014,115.91,-0.001293271
07/01/2014,116.06,0.01135145
06/01/2014,114.75,-0.002610968
03/01/2014,115.05,0.001478711
02/01/2014,114.88,-0.01116653
31/12/2013,116.17,0.003362797
30/12/2013,115.78,0.001815432
27/12/2013,115.57,0.002252253
26/12/2013,115.31,-0.001992637
24/12/2013,115.54,0.008779993
23/12/2013,114.53,0.007361351
20/12/2013,113.69,-0.007361351
19/12/2013,114.53,-0.002615976
18/12/2013,114.83,0.00200497
17/12/2013,114.6,-0.006609869
16/12/2013,115.36,0.006784405
13/12/2013,114.58,0.002534191
12/12/2013,114.29,-0.002534191
11/12/2013,114.58,-0.006524315
10/12/2013,115.33,-0.006654304
09/12/2013,116.1,-0.010709034
06/12/2013,117.35,0.01002021
05/12/2013,116.18,0.005004756
04/12/2013,115.6,-0.003023107
03/12/2013,115.95,-0.019726527
02/12/2013,118.26,0.006617484
29/11/2013,117.48,-0.007631683
27/11/2013,118.38,-0.003709954
26/11/2013,118.82,0.00320324
25/11/2013,118.44,-0.011584113
22/11/2013,119.82,0.009728356
21/11/2013,118.66,0.003207566
20/11/2013,118.28,-0.000422636
19/11/2013,118.33,-0.005141833
18/11/2013,118.94,-0.001512224
15/11/2013,119.12,0.010549066
14/11/2013,117.87,0.004080597
13/11/2013,117.39,0.008555104
12/11/2013,116.39,0.007589515
11/11/2013,115.51,-0.009134845
08/11/2013,116.57,0.010607663
07/11/2013,115.34,-0.003980277
06/11/2013,115.8,-0.003276147
05/11/2013,116.18,-0.000516307
04/11/2013,116.24,-0.003778126
01/11/2013,116.68,0.004122301
31/10/2013,116.2,0.006388695
30/10/2013,115.46,-0.006216563
29/10/2013,116.18,0.002326685
28/10/2013,115.91,-0.008077033
25/10/2013,116.85,0.019966954
24/10/2013,114.54,-0.053791481
23/10/2013,120.87,-0.000826993
22/10/2013,120.97,0.014823722
21/10/2013,119.19,0.004203806
18/10/2013,118.69,-0.007554174
17/10/2013,119.59,0.00587053
16/10/2013,118.89,0.018163799
15/10/2013,116.75,-0.002993374
14/10/2013,117.1,0.001880503
11/10/2013,116.88,0.00781623
10/10/2013,115.97,0.019416395
09/10/2013,113.74,-0.005086392
08/10/2013,114.32,-0.009229495
07/10/2013,115.38,-0.00389257
04/10/2013,115.83,0.013997186
03/10/2013,114.22,-0.012269025
02/10/2013,115.63,-0.011693023
01/10/2013,116.99,0.013684107
30/09/2013,115.4,-0.002336955
27/09/2013,115.67,0.000172921
26/09/2013,115.65,0.009120584
25/09/2013,114.6,0.005337079
24/09/2013,113.99,-0.013765682
23/09/2013,115.57,-0.007156128
20/09/2013,116.4,-0.006081129
19/09/2013,117.11,0.00051247
18/09/2013,117.05,0.011168501
17/09/2013,115.75,-0.000863558
16/09/2013,115.85,0.01093571
13/09/2013,114.59,-0.001046664
12/09/2013,114.71,-0.004349346
11/09/2013,115.21,0.003739297
10/09/2013,114.78,0.006994258
09/09/2013,113.98,0.013247566
06/09/2013,112.48,0.000889442
05/09/2013,112.38,-0.005236311
04/09/2013,112.97,0.012559734
03/09/2013,111.56,-0.00892385
30/08/2013,112.56,-0.001686566
29/08/2013,112.75,-0.001683726
28/08/2013,112.94,-0.004858023
27/08/2013,113.49,-0.017296029
26/08/2013,115.47,-0.003889542
23/08/2013,115.92,0.006056954
22/08/2013,115.22,0.008541846
