Date,Close,DNB
04/04/2014,101.27,-0.011682261
03/04/2014,102.46,0.004793826
02/04/2014,101.97,-0.023742576
01/04/2014,104.42,0.049772259
31/03/2014,99.35,-0.000201288
28/03/2014,99.37,0.008692191
27/03/2014,98.51,-0.008289574
26/03/2014,99.33,-0.007222421
25/03/2014,100.05,-0.013304406
24/03/2014,101.39,-0.001970638
21/03/2014,101.59,-0.005986573
20/03/2014,102.2,0.003725129
19/03/2014,101.82,0.002852227
18/03/2014,101.53,0.025234471
17/03/2014,99,0.008215473
14/03/2014,98.19,0.017154136
13/03/2014,96.52,-0.017561427
12/03/2014,98.23,-0.011135973
11/03/2014,99.33,-0.005321565
10/03/2014,99.86,0.006228046
07/03/2014,99.24,0.002118324
06/03/2014,99.03,-0.000706607
05/03/2014,99.1,0.001716912
04/03/2014,98.93,0.00263158
03/03/2014,98.67,-0.005457867
28/02/2014,99.21,0.00302847
27/02/2014,98.91,0.000809143
26/02/2014,98.83,0.001214944
25/02/2014,98.71,-0.01018
24/02/2014,99.72,0.042821251
21/02/2014,95.54,0.007037475
20/02/2014,94.87,-0.007560679
19/02/2014,95.59,-0.011441772
18/02/2014,96.69,-0.00587782
14/02/2014,97.26,-0.004104254
13/02/2014,97.66,0.001126992
12/02/2014,97.55,0.010718437
11/02/2014,96.51,-0.009384898
10/02/2014,97.42,-0.003483967
07/02/2014,97.76,0.005539044
06/02/2014,97.22,-0.000308531
05/02/2014,97.25,0.017321389
04/02/2014,95.58,-0.107805735
03/02/2014,106.46,-0.032711038
31/01/2014,110,-0.009229999
30/01/2014,111.02,0.011323098
29/01/2014,109.77,-0.012043429
28/01/2014,111.1,-0.004848712
27/01/2014,111.64,-0.014759759
24/01/2014,113.3,-0.02018329
23/01/2014,115.61,-0.022155647
22/01/2014,118.2,-0.004558124
21/01/2014,118.74,-0.001935132
17/01/2014,118.97,-0.004696025
16/01/2014,119.53,0.0003347
15/01/2014,119.49,-0.003842303
14/01/2014,119.95,0.004763307
13/01/2014,119.38,-0.029710058
10/01/2014,122.98,-0.007049415
09/01/2014,123.85,0.007537419
08/01/2014,122.92,0.012442859
07/01/2014,121.4,0.007607115
06/01/2014,120.48,-0.012127361
03/01/2014,121.95,0.009971651
02/01/2014,120.74,-0.016510293
31/12/2013,122.75,0.000570427
30/12/2013,122.68,-0.006013834
27/12/2013,123.42,0.00081057
26/12/2013,123.32,0.003411586
