Date,Close,VTR
04/04/2014,61.99,0.009563247
03/04/2014,61.4,0.001793138
02/04/2014,61.29,-0.001630258
01/04/2014,61.39,0.013447234
31/03/2014,60.57,0.003473087
28/03/2014,60.36,0.006982572
27/03/2014,59.94,0.009386593
26/03/2014,59.38,-0.011386593
25/03/2014,60.06,0.011049836
24/03/2014,59.4,-0.003864577
21/03/2014,59.63,0.008589526
20/03/2014,59.12,0.003388685
19/03/2014,58.92,-0.032888366
18/03/2014,60.89,0.004444086
17/03/2014,60.62,-0.002306806
14/03/2014,60.76,0.004618946
13/03/2014,60.48,-0.011997843
12/03/2014,61.21,0.000817194
11/03/2014,61.16,0.01068474
10/03/2014,60.51,0.000165276
07/03/2014,60.5,-0.024007032
06/03/2014,61.97,-0.016960407
05/03/2014,63.03,-0.010102691
04/03/2014,63.67,0.013917669
03/03/2014,62.79,0.005749896
28/02/2014,62.43,-0.000160167
27/02/2014,62.44,0.008039921
26/02/2014,61.94,0.007291615
25/02/2014,61.49,-0.003571432
24/02/2014,61.71,0.017821121
21/02/2014,60.62,-0.008704991
20/02/2014,61.15,-0.012351855
19/02/2014,61.91,0.007946203
18/02/2014,61.42,-0.00162681
14/02/2014,61.52,-0.017402953
13/02/2014,62.6,0.013185591
12/02/2014,61.78,-0.013664709
11/02/2014,62.63,-0.005096364
10/02/2014,62.95,0.016174586
07/02/2014,61.94,0.00226281
06/02/2014,61.8,0.004215995
05/02/2014,61.54,-0.007285712
04/02/2014,61.99,0.007123229
03/02/2014,61.55,-0.013555153
31/01/2014,62.39,0.009016323
30/01/2014,61.83,0.003726813
29/01/2014,61.6,-0.003565066
28/01/2014,61.82,0.00746878
27/01/2014,61.36,-0.000488798
24/01/2014,61.39,-0.001302295
23/01/2014,61.47,-0.00276176
22/01/2014,61.64,-0.002592354
21/01/2014,61.8,0.013685453
17/01/2014,60.96,-0.003929278
16/01/2014,61.2,0.014980937
15/01/2014,60.29,0.005822191
14/01/2014,59.94,0.000667557
13/01/2014,59.9,-0.013267193
10/01/2014,60.7,0.04481127
09/01/2014,58.04,0.00258777
08/01/2014,57.89,-0.00568428
07/01/2014,58.22,0.000343584
06/01/2014,58.2,0.024525101
03/01/2014,56.79,-0.000528123
02/01/2014,56.82,-0.008063146
31/12/2013,57.28,-0.007132326
30/12/2013,57.69,0.007830894
27/12/2013,57.24,-0.000349345
26/12/2013,57.26,0.002272927
24/12/2013,57.13,-0.000175024
23/12/2013,57.14,-0.003668447
20/12/2013,57.35,0.012280856
19/12/2013,56.65,-0.019404507
18/12/2013,57.76,0.020640929
17/12/2013,56.58,0.004428313
16/12/2013,56.33,0.006232769
13/12/2013,55.98,0.012945165
12/12/2013,55.26,-0.019177933
11/12/2013,56.33,-0.028870871
10/12/2013,57.98,0.012495824
09/12/2013,57.26,0.016020059
06/12/2013,56.35,-0.005839174
05/12/2013,56.68,0.008326738
04/12/2013,56.21,0.004278844
03/12/2013,55.97,-0.00516797
02/12/2013,56.26,-0.010080552
29/11/2013,56.83,-0.014152416
27/11/2013,57.64,0.00277971
26/11/2013,57.48,-0.011588818
25/11/2013,58.15,-0.017050711
22/11/2013,59.15,-0.01025995
21/11/2013,59.76,0.009921884
20/11/2013,59.17,-0.020574448
19/11/2013,60.4,-0.008900669
18/11/2013,60.94,-0.003930565
15/11/2013,61.18,0.005079896
14/11/2013,60.87,0.005931802
13/11/2013,60.51,-0.003629169
12/11/2013,60.73,-0.012274109
11/11/2013,61.48,-0.00146282
08/11/2013,61.57,-0.032910318
07/11/2013,63.63,-0.006266666
06/11/2013,64.03,0.000624902
05/11/2013,63.99,-0.028196922
04/11/2013,65.82,0.0042631
01/11/2013,65.54,0.004587866
31/10/2013,65.24,-0.008850966
30/10/2013,65.82,-0.004396278
29/10/2013,66.11,-0.007384556
28/10/2013,66.6,-0.010901325
25/10/2013,67.33,0.019648176
24/10/2013,66.02,0.000302984
23/10/2013,66,0.002427186
22/10/2013,65.84,0.015613359
21/10/2013,64.82,-0.011046446
18/10/2013,65.54,-0.0042631
17/10/2013,65.82,0.017626328
16/10/2013,64.67,0.021412086
15/10/2013,63.3,-0.005042557
14/10/2013,63.62,-0.007360459
11/10/2013,64.09,0.006574851
10/10/2013,63.67,0.025772982
09/10/2013,62.05,-0.000483364
08/10/2013,62.08,-0.000644122
07/10/2013,62.12,0.006784067
04/10/2013,61.7,-0.005334208
03/10/2013,62.03,-0.023106757
02/10/2013,63.48,0.00584566
01/10/2013,63.11,0.025842061
30/09/2013,61.5,-0.018686111
27/09/2013,62.66,-0.009846038
26/09/2013,63.28,0.004910901
25/09/2013,62.97,0.008932904
24/09/2013,62.41,-0.001120987
23/09/2013,62.48,-0.007176492
20/09/2013,62.93,-0.022003088
19/09/2013,64.33,-0.018634558
18/09/2013,65.54,0.041273475
17/09/2013,62.89,-0.005391704
16/09/2013,63.23,0.028555036
13/09/2013,61.45,0.012115407
12/09/2013,60.71,-0.010812687
11/09/2013,61.37,0.000815062
10/09/2013,61.32,-0.013605652
09/09/2013,62.16,0.011325149
06/09/2013,61.46,0.016735419
05/09/2013,60.44,-0.02095689
04/09/2013,61.72,0.002433289
03/09/2013,61.57,-0.011144426
30/08/2013,62.26,-0.004647072
29/08/2013,62.55,-0.003351691
28/08/2013,62.76,-0.001592104
27/08/2013,62.86,0.013614369
26/08/2013,62.01,-0.005788728
23/08/2013,62.37,0.023522863
22/08/2013,60.92,-0.005402321
21/08/2013,61.25,0.015134357
20/08/2013,60.33,0.02466775
19/08/2013,58.86,-0.011318644
16/08/2013,59.53,-0.025704093
15/08/2013,61.08,-0.026017465
14/08/2013,62.69,-0.008418762
