Date,Close,RIG
04/04/2014,41.61,0.006993879
03/04/2014,41.32,-0.002175753
02/04/2014,41.41,0.004841452
01/04/2014,41.21,-0.003149609
31/03/2014,41.34,0.003635046
28/03/2014,41.19,0.020356313
27/03/2014,40.36,-0.002721763
26/03/2014,40.47,-0.003945751
25/03/2014,40.63,0.018631765
24/03/2014,39.88,-0.01295484
21/03/2014,40.4,0.006954822
20/03/2014,40.12,0.007756826
19/03/2014,39.81,0.015696525
18/03/2014,39.19,0.007170325
17/03/2014,38.91,0.001800644
14/03/2014,38.84,-0.017862174
13/03/2014,39.54,-0.031124136
12/03/2014,40.79,-0.021584444
11/03/2014,41.68,-0.00430932
10/03/2014,41.86,-0.005004181
07/03/2014,42.07,-0.011579947
06/03/2014,42.56,0.003059186
05/03/2014,42.43,0.010186041
04/03/2014,42,0.007888173
03/03/2014,41.67,-0.017366917
28/02/2014,42.4,-0.003531493
27/02/2014,42.55,-0.010752792
26/02/2014,43.01,-0.009487518
25/02/2014,43.42,-0.011449633
24/02/2014,43.92,0.017919156
21/02/2014,43.14,0.00371575
20/02/2014,42.98,0.004430461
19/02/2014,42.79,-0.004895685
18/02/2014,43,-0.003018695
14/02/2014,43.13,-0.005318546
13/02/2014,43.36,0.00392837
12/02/2014,43.19,-0.015165732
11/02/2014,43.85,0.036933707
10/02/2014,42.26,-0.001655042
07/02/2014,42.33,-0.000708466
06/02/2014,42.36,0.017863998
05/02/2014,41.61,-0.019279426
04/02/2014,42.42,-0.001177995
03/02/2014,42.47,-0.01889269
31/01/2014,43.28,-0.008970733
30/01/2014,43.67,-0.004113351
29/01/2014,43.85,-0.025220882
28/01/2014,44.97,-0.006207069
27/01/2014,45.25,0.022347299
24/01/2014,44.25,-0.026317308
23/01/2014,45.43,-0.030351343
22/01/2014,46.83,0.001709767
21/01/2014,46.75,0.001284247
17/01/2014,46.69,-0.010863884
16/01/2014,47.2,-0.006967198
15/01/2014,47.53,-0.016277488
14/01/2014,48.31,0.017119416
13/01/2014,47.49,-0.021663001
10/01/2014,48.53,0.000618365
09/01/2014,48.5,0
08/01/2014,48.5,-0.012295237
07/01/2014,49.1,0.00694873
06/01/2014,48.76,0.001847481
03/01/2014,48.67,-0.004919051
02/01/2014,48.91,-0.010373326
31/12/2013,49.42,0.011805551
30/12/2013,48.84,-0.000409417
27/12/2013,48.86,0.014222645
26/12/2013,48.17,0.00103853
24/12/2013,48.12,0.019515885
23/12/2013,47.19,0.004034404
20/12/2013,47,-0.003186407
19/12/2013,47.15,-0.018283582
18/12/2013,48.02,-0.002288093
17/12/2013,48.13,-0.001660785
16/12/2013,48.21,-0.000207404
13/12/2013,48.22,-0.008466752
12/12/2013,48.63,0.00164643
11/12/2013,48.55,-0.014315173
10/12/2013,49.25,-0.006476444
09/12/2013,49.57,-0.004026581
06/12/2013,49.77,0.001206273
05/12/2013,49.71,-0.01160013
04/12/2013,50.29,0.003785242
03/12/2013,50.1,-0.002392346
02/12/2013,50.22,-0.003180917
29/11/2013,50.38,-0.003170831
27/11/2013,50.54,0.002773927
26/11/2013,50.4,-0.011834458
25/11/2013,51,-0.021147359
22/11/2013,52.09,-0.005551847
21/11/2013,52.38,-0.029347479
20/11/2013,53.94,-0.000556019
19/11/2013,53.97,-0.004805924
18/11/2013,54.23,-0.003864917
15/11/2013,54.44,-0.004215935
14/11/2013,54.67,-0.011457796
13/11/2013,55.3,0.002897503
12/11/2013,55.14,-0.004162525
11/11/2013,55.37,0.035291293
08/11/2013,53.45,0.018886303
07/11/2013,52.45,0.067427979
06/11/2013,49.03,0.016865887
05/11/2013,48.21,-0.003520037
04/11/2013,48.38,0.017094433
01/11/2013,47.56,0.010356216
31/10/2013,47.07,-0.004663001
30/10/2013,47.29,-0.019475016
29/10/2013,48.22,-0.007849658
28/10/2013,48.6,-0.018349139
25/10/2013,49.5,0.009744291
24/10/2013,49.02,0.00122474
23/10/2013,48.96,-0.007934128
22/10/2013,49.35,0.057981209
21/10/2013,46.57,0.014709329
18/10/2013,45.89,0.013160971
17/10/2013,45.29,0.001546791
16/10/2013,45.22,0.00465478
15/10/2013,45.01,-0.009067849
14/10/2013,45.42,0.005076713
11/10/2013,45.19,0.007998265
10/10/2013,44.83,0.010088641
09/10/2013,44.38,-0.000450552
08/10/2013,44.4,-0.013645218
07/10/2013,45.01,-0.009728133
04/10/2013,45.45,0.00595831
03/10/2013,45.18,0.003325577
02/10/2013,45.03,0.001110988
01/10/2013,44.98,0.010728757
30/09/2013,44.5,-0.009393941
27/09/2013,44.92,-0.002889854
26/09/2013,45.05,-0.000665705
25/09/2013,45.08,0.001554002
24/09/2013,45.01,-0.001332149
23/09/2013,45.07,0.000221902
20/09/2013,45.06,-0.017816374
19/09/2013,45.87,-0.029429683
18/09/2013,47.24,0.00999902
17/09/2013,46.77,0.001926164
16/09/2013,46.68,-0.002353697
13/09/2013,46.79,-0.012741731
12/09/2013,47.39,-0.004001269
11/09/2013,47.58,0.005902209
10/09/2013,47.3,0.0057246
09/09/2013,47.03,0.011978753
06/09/2013,46.47,0.000430478
05/09/2013,46.45,0.023084649
04/09/2013,45.39,0.00154338
03/09/2013,45.32,0.004201222
30/08/2013,45.13,-0.008604576
29/08/2013,45.52,-0.003508776
28/08/2013,45.68,-0.002186749
27/08/2013,45.78,-0.016894489
26/08/2013,46.56,-0.006636009
23/08/2013,46.87,0.014831008
22/08/2013,46.18,0.005863846
21/08/2013,45.91,-0.017917371
20/08/2013,46.74,0.004503063
19/08/2013,46.53,-0.010050336
16/08/2013,47,-0.007419218
15/08/2013,47.35,0.00784484
14/08/2013,46.98,-0.011428696
13/08/2013,47.52,-0.002102166
12/08/2013,47.62,0.002312626
09/08/2013,47.51,-0.022271708
08/08/2013,48.58,0.002060582
07/08/2013,48.48,0.00123839
06/08/2013,48.42,-0.001032098
05/08/2013,48.47,0.002478828
02/08/2013,48.35,0.007265211
01/08/2013,48,0.017654935
31/07/2013,47.16,0.001273075
30/07/2013,47.1,0.001487305
29/07/2013,47.03,-0.013936036
26/07/2013,47.69,-0.016635859
25/07/2013,48.49,-0.014536032
24/07/2013,49.2,-0.017328663
23/07/2013,50.06,0.009231452
22/07/2013,49.6,-0.002818605
19/07/2013,49.74,0.008682538
18/07/2013,49.31,0.005490609
17/07/2013,49.04,-0.003663753
16/07/2013,49.22,-0.011714939
15/07/2013,49.8,-0.003808001
12/07/2013,49.99,0.012075011
11/07/2013,49.39,0.009561664
10/07/2013,48.92,-0.003469037
09/07/2013,49.09,0.014362167
08/07/2013,48.39,0.012476768
05/07/2013,47.79,0.008405177
03/07/2013,47.39,-0.001265289
02/07/2013,47.45,-0.016512027
01/07/2013,48.24,0.006029751
28/06/2013,47.95,-0.010167117
27/06/2013,48.44,0.008708328
26/06/2013,48.02,0.0102565
25/06/2013,47.53,0.014196658
24/06/2013,46.86,-0.023411382
21/06/2013,47.97,-0.008923998
20/06/2013,48.4,-0.022472856
19/06/2013,49.5,-0.005037794
18/06/2013,49.75,0.002012073
17/06/2013,49.65,0.00727717
14/06/2013,49.29,0.011221173
13/06/2013,48.74,0.008654495
