Date,Close,PH
04/04/2014,121.8,-0.01191559
03/04/2014,123.26,-0.003967456
02/04/2014,123.75,0.014324327
01/04/2014,121.99,0.018866923
31/03/2014,119.71,0.003933882
28/03/2014,119.24,0.010368902
27/03/2014,118.01,-0.006082641
26/03/2014,118.73,-0.020012341
25/03/2014,121.13,0.018413351
24/03/2014,118.92,-0.003860685
21/03/2014,119.38,0.001257282
20/03/2014,119.23,-0.003599987
19/03/2014,119.66,-0.001836854
18/03/2014,119.88,0.000417171
17/03/2014,119.83,0.030847289
14/03/2014,116.19,-0.005321901
13/03/2014,116.81,-0.021092646
12/03/2014,119.3,-0.012080963
11/03/2014,120.75,-0.020249083
10/03/2014,123.22,-0.00937002
07/03/2014,124.38,0.015638612
06/03/2014,122.45,0.004419716
05/03/2014,121.91,0.006418719
04/03/2014,121.13,0.014468904
03/03/2014,119.39,-0.009669159
28/02/2014,120.55,0.003157198
27/02/2014,120.17,0.010036046
26/02/2014,118.97,0.009883089
25/02/2014,117.8,-0.007105427
24/02/2014,118.64,0.007360128
21/02/2014,117.77,-0.000169808
20/02/2014,117.79,0.008868481
19/02/2014,116.75,-0.009632261
18/02/2014,117.88,0.000254528
14/02/2014,117.85,0.009292083
13/02/2014,116.76,-0.003846652
12/02/2014,117.21,0.005990092
11/02/2014,116.51,0.008014175
10/02/2014,115.58,-0.026383601
07/02/2014,118.67,0.037694954
06/02/2014,114.28,0.014632258
05/02/2014,112.62,0.015480601
04/02/2014,110.89,0.013619241
03/02/2014,109.39,-0.035737328
31/01/2014,113.37,-0.010354603
30/01/2014,114.55,0.004812961
29/01/2014,114,-0.010731683
28/01/2014,115.23,0.007403893
27/01/2014,114.38,-0.002183312
24/01/2014,114.63,-0.035310893
23/01/2014,118.75,-0.030437313
22/01/2014,122.42,-0.035311003
21/01/2014,126.82,-0.004798436
17/01/2014,127.43,-0.013562172
16/01/2014,129.17,0.001627087
15/01/2014,128.96,0.009348775
14/01/2014,127.76,0.016892027
13/01/2014,125.62,-0.012499174
10/01/2014,127.2,0.002124898
09/01/2014,126.93,-0.00589138
08/01/2014,127.68,0.000391681
07/01/2014,127.63,0.014044731
06/01/2014,125.85,-0.011062934
03/01/2014,127.25,7.85885E-05
02/01/2014,127.24,-0.010942739
31/12/2013,128.64,-0.001863933
30/12/2013,128.88,0.005992469
27/12/2013,128.11,0.001796946
26/12/2013,127.88,0.00525306
24/12/2013,127.21,0.007971314
23/12/2013,126.2,-7.92362E-05
20/12/2013,126.21,0.018714558
19/12/2013,123.87,0.011121599
18/12/2013,122.5,0.021286176
17/12/2013,119.92,-0.00465891
16/12/2013,120.48,0.012612404
13/12/2013,118.97,0.005901214
12/12/2013,118.27,0.002370271
11/12/2013,117.99,-0.014305192
10/12/2013,119.69,-0.009148434
