Date,Close,NOV
04/04/2014,78.96,0.010183387
03/04/2014,78.16,-0.003703471
02/04/2014,78.45,0.004983717
01/04/2014,78.06,0.002436992
31/03/2014,77.87,0.002571687
28/03/2014,77.67,0.021341083
27/03/2014,76.03,0.016711264
26/03/2014,74.77,-0.000133735
25/03/2014,74.78,0.008460401
24/03/2014,74.15,-0.004306291
21/03/2014,74.47,0.010122227
20/03/2014,73.72,-0.003655816
19/03/2014,73.99,-0.004046404
18/03/2014,74.29,0.002965761
17/03/2014,74.07,-0.007129915
14/03/2014,74.6,-0.007744731
13/03/2014,75.18,-0.027938075
12/03/2014,77.31,-0.009910629
11/03/2014,78.08,-0.01057402
10/03/2014,78.91,-0.001899095
07/03/2014,79.06,0.010553852
06/03/2014,78.23,0.009633367
05/03/2014,77.48,-0.004635599
04/03/2014,77.84,0.010590309
03/03/2014,77.02,-0.000259639
28/02/2014,77.04,0.030844675
27/02/2014,74.7,0.004830927
26/02/2014,74.34,-0.006569709
25/02/2014,74.83,-0.014724681
24/02/2014,75.94,0.01512567
21/02/2014,74.8,-0.020902997
20/02/2014,76.38,-0.001046846
19/02/2014,76.46,0.000785032
18/02/2014,76.4,-0.000261746
14/02/2014,76.42,0.006300887
13/02/2014,75.94,-0.001052909
12/02/2014,76.02,0.00554018
11/02/2014,75.6,0.00796817
10/02/2014,75,-0.000932898
07/02/2014,75.07,0.013545436
06/02/2014,74.06,0.010314967
05/02/2014,73.3,-0.016372736
04/02/2014,74.51,0.010252349
03/02/2014,73.75,-0.016940443
31/01/2014,75.01,0.018297295
30/01/2014,73.65,0.008453827
29/01/2014,73.03,-0.00382671
28/01/2014,73.31,0
27/01/2014,73.31,-0.009368068
24/01/2014,74,-0.028245949
23/01/2014,76.12,-0.01899862
22/01/2014,77.58,0.005558083
21/01/2014,77.15,0.002335843
17/01/2014,76.97,-0.002465452
16/01/2014,77.16,-0.000259168
15/01/2014,77.18,-0.004524602
14/01/2014,77.53,0.010241873
13/01/2014,76.74,-0.016926562
10/01/2014,78.05,0.003593894
09/01/2014,77.77,-0.00513019
08/01/2014,78.17,-0.020762868
07/01/2014,79.81,0.004017582
06/01/2014,79.49,0.00935295
03/01/2014,78.75,-0.003422707
02/01/2014,79.02,-0.006433324
31/12/2013,79.53,0.010745315
30/12/2013,78.68,-0.009613026
27/12/2013,79.44,0.008469806
26/12/2013,78.77,0.003051496
24/12/2013,78.53,0.009724965
23/12/2013,77.77,-0.007685448
20/12/2013,78.37,0.007556872
19/12/2013,77.78,-0.001669986
18/12/2013,77.91,-0.002947775
