Date,Close,RAI
04/04/2014,53.51,0.000373832
03/04/2014,53.49,-0.008933616
02/04/2014,53.97,0.005201572
01/04/2014,53.69,0.005041557
31/03/2014,53.42,0.007516007
28/03/2014,53.02,-0.000377145
27/03/2014,53.04,-0.00732604
26/03/2014,53.43,-0.004109083
25/03/2014,53.65,0.00579495
24/03/2014,53.34,-0.003555726
21/03/2014,53.53,-0.000746965
20/03/2014,53.57,0.006554944
19/03/2014,53.22,-0.013067201
18/03/2014,53.92,0.004274702
17/03/2014,53.69,-0.01203384
14/03/2014,54.34,0.004426418
13/03/2014,54.1,0.00630449
12/03/2014,53.76,0.001302932
11/03/2014,53.69,-0.012401825
10/03/2014,54.36,0.015012792
07/03/2014,53.55,0.005430217
06/03/2014,53.26,-0.019338647
05/03/2014,54.3,-0.036347912
04/03/2014,56.31,0.055123443
03/03/2014,53.29,0.047261965
28/02/2014,50.83,0.016063806
27/02/2014,50.02,0.006216805
26/02/2014,49.71,-0.001005328
25/02/2014,49.76,0.014371262
24/02/2014,49.05,0.008805217
21/02/2014,48.62,0.002265007
20/02/2014,48.51,0.018097218
19/02/2014,47.64,-0.005651506
18/02/2014,47.91,-0.006242218
14/02/2014,48.21,0.012523645
13/02/2014,47.61,0.006743967
12/02/2014,47.29,-0.016359425
11/02/2014,48.07,-0.015276928
10/02/2014,48.81,0.001024905
07/02/2014,48.76,0.020093892
06/02/2014,47.79,0.013694515
05/02/2014,47.14,-0.007607814
04/02/2014,47.5,0.011433536
03/02/2014,46.96,-0.032267622
31/01/2014,48.5,-0.001236349
30/01/2014,48.56,-0.001029124
29/01/2014,48.61,-0.015311109
28/01/2014,49.36,0.005892529
27/01/2014,49.07,-0.000611185
24/01/2014,49.1,0.001426679
23/01/2014,49.03,-0.004680037
22/01/2014,49.26,0.003864543
21/01/2014,49.07,0.015402296
17/01/2014,48.32,-0.007628117
16/01/2014,48.69,0.006800644
15/01/2014,48.36,0.001034447
14/01/2014,48.31,0.004148523
13/01/2014,48.11,-0.004148523
10/01/2014,48.31,-0.004131384
09/01/2014,48.51,0.000206164
08/01/2014,48.5,-0.004731059
07/01/2014,48.73,0.000410509
06/01/2014,48.71,-0.002050862
03/01/2014,48.81,-0.009380167
02/01/2014,49.27,-0.014507609
31/12/2013,49.99,0.004209688
30/12/2013,49.78,-0.002407706
27/12/2013,49.9,0.008452455
26/12/2013,49.48,0.005065354
24/12/2013,49.23,0.007544128
23/12/2013,48.86,0.001843696
20/12/2013,48.77,-0.001024695
19/12/2013,48.82,0.000409752
18/12/2013,48.8,0.004106782
17/12/2013,48.6,-0.002466092
16/12/2013,48.72,-0.004914015
13/12/2013,48.96,-0.003059042
12/12/2013,49.11,-0.028900265
11/12/2013,50.55,-0.00513024
10/12/2013,50.81,-0.010766474
09/12/2013,51.36,0.001948938
