Date,Close,MAC
04/04/2014,62.67,0.005600463
03/04/2014,62.32,-0.002564104
02/04/2014,62.48,0.000480269
01/04/2014,62.45,0.001923386
31/03/2014,62.33,0.010321008
28/03/2014,61.69,0.009446324
27/03/2014,61.11,0.007885699
26/03/2014,60.63,-0.006084044
25/03/2014,61,0.014697647
24/03/2014,60.11,-0.007458392
21/03/2014,60.56,0.016818313
20/03/2014,59.55,-0.000335796
19/03/2014,59.57,-0.021424053
18/03/2014,60.86,0.005602256
17/03/2014,60.52,0.009129452
14/03/2014,59.97,0.004344927
13/03/2014,59.71,-0.006510331
12/03/2014,60.1,0.003667282
11/03/2014,59.88,0.005022612
10/03/2014,59.58,-0.011182625
07/03/2014,60.25,-0.014336572
06/03/2014,61.12,-0.01106422
05/03/2014,61.8,0.000647459
04/03/2014,61.76,0.026913341
03/03/2014,60.12,-0.00016632
28/02/2014,60.13,0.001664448
27/02/2014,60.03,-0.007468295
26/02/2014,60.48,-0.000991572
25/02/2014,60.54,-0.003627374
24/02/2014,60.76,0.001482336
21/02/2014,60.67,0.009106777
20/02/2014,60.12,-0.007787298
19/02/2014,60.59,-0.010997238
18/02/2014,61.26,0.005893927
14/02/2014,60.9,0.006755113
13/02/2014,60.49,0.005802885
12/02/2014,60.14,-0.000831048
11/02/2014,60.19,0.006166172
10/02/2014,59.82,0.009911883
07/02/2014,59.23,0.013427583
06/02/2014,58.44,0.016389567
05/02/2014,57.49,0.01524874
04/02/2014,56.62,0.015664258
03/02/2014,55.74,-0.015310963
31/01/2014,56.6,0.008338556
30/01/2014,56.13,0.009847005
29/01/2014,55.58,-0.011804823
28/01/2014,56.24,0.001423488
27/01/2014,56.16,-0.016599357
24/01/2014,57.1,-0.021483848
23/01/2014,58.34,-0.009892627
22/01/2014,58.92,0.011436499
21/01/2014,58.25,0.003611664
17/01/2014,58.04,-0.014708663
16/01/2014,58.9,-0.001696353
15/01/2014,59,0.003395589
14/01/2014,58.8,0.005799095
13/01/2014,58.46,-0.007668096
10/01/2014,58.91,0.001528922
09/01/2014,58.82,-0.003394436
08/01/2014,59.02,0.000508431
07/01/2014,58.99,0.004247012
06/01/2014,58.74,0.000851571
03/01/2014,58.69,0.005295989
02/01/2014,58.38,-0.008697932
31/12/2013,58.89,-0.007780824
30/12/2013,59.35,0.003037464
27/12/2013,59.17,-0.004552744
26/12/2013,59.44,0.000673174
24/12/2013,59.4,0.000673628
23/12/2013,59.36,0.006761351
20/12/2013,58.96,0.00544219
19/12/2013,58.64,-0.015231298
18/12/2013,59.54,0.014038286
17/12/2013,58.71,0.003754271
16/12/2013,58.49,-0.00034188
13/12/2013,58.51,0.000170926
12/12/2013,58.5,-0.002560821
11/12/2013,58.65,-0.02292364
10/12/2013,60.01,-0.005484019
09/12/2013,60.34,-0.002482828
06/12/2013,60.49,0.020206081
05/12/2013,59.28,0.015641257
04/12/2013,58.36,0.018853797
03/12/2013,57.27,0.009297497
02/12/2013,56.74,-0.003518652
29/11/2013,56.94,-0.011003517
27/11/2013,57.57,0.012585378
26/11/2013,56.85,-0.007884404
25/11/2013,57.3,-0.006436484
22/11/2013,57.67,-0.000173385
21/11/2013,57.68,0.005214682
20/11/2013,57.38,-0.00711994
19/11/2013,57.79,-0.007928342
18/11/2013,58.25,-0.010927205
15/11/2013,58.89,0.015055887
14/11/2013,58.01,0.014936019
13/11/2013,57.15,0.008257975
12/11/2013,56.68,-0.004049658
11/11/2013,56.91,0.006169051
08/11/2013,56.56,-0.006871668
07/11/2013,56.95,-0.024457034
06/11/2013,58.36,-0.00836111
05/11/2013,58.85,-0.015512029
04/11/2013,59.77,-0.002673352
01/11/2013,59.93,0.012086768
31/10/2013,59.21,0.011892767
30/10/2013,58.51,-0.00085419
29/10/2013,58.56,-0.009179055
28/10/2013,59.1,-0.011105616
25/10/2013,59.76,0.004192175
24/10/2013,59.51,0.007421184
23/10/2013,59.07,-0.002873808
22/10/2013,59.24,0.015651902
21/10/2013,58.32,-0.013116618
18/10/2013,59.09,-0.001859837
17/10/2013,59.2,0.024105792
16/10/2013,57.79,0.033609216
15/10/2013,55.88,-0.012625757
14/10/2013,56.59,0.00602625
11/10/2013,56.25,0.000355619
10/10/2013,56.23,0.017582082
09/10/2013,55.25,-0.001266166
08/10/2013,55.32,-0.008639363
07/10/2013,55.8,0.002152853
04/10/2013,55.68,-0.010895883
03/10/2013,56.29,-0.013411177
02/10/2013,57.05,0.002457004
01/10/2013,56.91,0.008292946
30/09/2013,56.44,-0.014424173
27/09/2013,57.26,-0.009386476
26/09/2013,57.8,0.01288543
25/09/2013,57.06,-0.007159727
24/09/2013,57.47,-0.007627009
23/09/2013,57.91,-0.003619757
20/09/2013,58.12,-0.025313507
19/09/2013,59.61,-0.005854328
18/09/2013,59.96,0.03357955
17/09/2013,57.98,-0.001723247
16/09/2013,58.08,0.015267472
13/09/2013,57.2,0.003502631
12/09/2013,57,-0.005772779
11/09/2013,57.33,0.000523423
10/09/2013,57.3,-0.006436484
09/09/2013,57.67,0.01855146
06/09/2013,56.61,0.011191164
05/09/2013,55.98,-0.008183643
04/09/2013,56.44,0.012659525
03/09/2013,55.73,-0.009820631
30/08/2013,56.28,-0.005139577
29/08/2013,56.57,0.008342997
28/08/2013,56.1,-0.001246994
27/08/2013,56.17,-0.006742396
