Date,Close,XL
04/04/2014,31.21,-0.006387757
03/04/2014,31.41,0.01088359
02/04/2014,31.07,0.002900888
01/04/2014,30.98,-0.008677541
31/03/2014,31.25,0.020365986
28/03/2014,30.62,0.012818581
27/03/2014,30.23,-0.007251185
26/03/2014,30.45,-0.004587164
25/03/2014,30.59,0.003930565
24/03/2014,30.47,-0.002622093
21/03/2014,30.55,0.004264399
20/03/2014,30.42,0.004282662
19/03/2014,30.29,-0.005596722
18/03/2014,30.46,0.005266635
17/03/2014,30.3,0.010950831
14/03/2014,29.97,0.001669728
13/03/2014,29.92,-0.012620559
12/03/2014,30.3,-0.00460982
11/03/2014,30.44,-0.009807205
10/03/2014,30.74,0.001302084
07/03/2014,30.7,0.000325786
06/03/2014,30.69,0.010152371
05/03/2014,30.38,0.000329218
04/03/2014,30.37,0.008597937
03/03/2014,30.11,-0.009585266
28/02/2014,30.4,0.014913284
27/02/2014,29.95,0.004350015
26/02/2014,29.82,0.008418975
25/02/2014,29.57,-0.005396303
24/02/2014,29.73,0.009802343
21/02/2014,29.44,0.004766778
20/02/2014,29.3,0.007193044
19/02/2014,29.09,-0.01094028
18/02/2014,29.41,0.006139173
14/02/2014,29.23,0.012046265
13/02/2014,28.88,-0.004146516
12/02/2014,29,-0.010974047
11/02/2014,29.32,0.01166394
10/02/2014,28.98,0.003802943
07/02/2014,28.87,0.010795856
06/02/2014,28.56,0.02123222
05/02/2014,27.96,-0.003570157
04/02/2014,28.06,0.002140564
03/02/2014,28,-0.02608537
31/01/2014,28.74,-0.01827322
30/01/2014,29.27,0.014106547
29/01/2014,28.86,-0.021594669
28/01/2014,29.49,0.030294916
27/01/2014,28.61,-0.006966242
24/01/2014,28.81,-0.032106583
23/01/2014,29.75,-0.019637842
22/01/2014,30.34,0.003963017
21/01/2014,30.22,0.009308578
17/01/2014,29.94,-0.001335114
16/01/2014,29.98,0.001001168
15/01/2014,29.95,-0.005992029
14/01/2014,30.13,0.009001561
13/01/2014,29.86,-0.018580495
10/01/2014,30.42,0.000657678
09/01/2014,30.4,0.000329001
08/01/2014,30.39,0.000658328
07/01/2014,30.37,0
06/01/2014,30.37,-0.014384034
03/01/2014,30.81,-0.014180064
02/01/2014,31.25,-0.018703985
31/12/2013,31.84,-0.00156912
30/12/2013,31.89,0.006291307
27/12/2013,31.69,-0.000315507
26/12/2013,31.7,0.005060099
24/12/2013,31.54,0.006361345
23/12/2013,31.34,0.007687418
20/12/2013,31.1,0.011643081
19/12/2013,30.74,0.00489158
18/12/2013,30.59,0.017810497
17/12/2013,30.05,0.005673301
16/12/2013,29.88,0.007727235
13/12/2013,29.65,-0.008730747
12/12/2013,29.91,-0.004336954
11/12/2013,30.04,-0.022384081
10/12/2013,30.72,-0.007135937
09/12/2013,30.94,0.006159851
06/12/2013,30.75,0.010132461
05/12/2013,30.44,-0.007527445
04/12/2013,30.67,-0.006175869
03/12/2013,30.86,-0.010316017
02/12/2013,31.18,-0.02564649
29/11/2013,31.99,-0.003432676
27/11/2013,32.1,-0.001867414
26/11/2013,32.16,0.01566939
25/11/2013,31.66,0.003480465
22/11/2013,31.55,0.007955491
21/11/2013,31.3,0.012214874
20/11/2013,30.92,-0.009014871
19/11/2013,31.2,-0.007026538
18/11/2013,31.42,0.000955262
15/11/2013,31.39,0.001594134
14/11/2013,31.34,0.009296429
13/11/2013,31.05,0.005166301
12/11/2013,30.89,-0.017330344
11/11/2013,31.43,0.005743475
08/11/2013,31.25,0.015804232
07/11/2013,30.76,-0.002273097
06/11/2013,30.83,0.006508321
05/11/2013,30.63,0.003925422
04/11/2013,30.51,0.006246938
01/11/2013,30.32,-0.008211575
31/10/2013,30.57,-0.018474031
30/10/2013,31.14,-0.013080423
29/10/2013,31.55,-0.000316907
28/10/2013,31.56,-0.003795071
25/10/2013,31.68,-0.008486614
24/10/2013,31.95,0.007224784
23/10/2013,31.72,-0.013153964
22/10/2013,32.14,0.008436232
21/10/2013,31.87,-0.006567655
18/10/2013,32.08,0.000311769
17/10/2013,32.07,0.009083853
16/10/2013,31.78,0.022272636
15/10/2013,31.08,-0.011834458
14/10/2013,31.45,0.004780886
11/10/2013,31.3,0.000639182
10/10/2013,31.28,0.022632715
09/10/2013,30.58,-0.000653808
08/10/2013,30.6,-0.016529302
07/10/2013,31.11,-0.001284934
04/10/2013,31.15,0.009029407
03/10/2013,30.87,-0.012554486
02/10/2013,31.26,0.00899749
01/10/2013,30.98,0.005178005
30/09/2013,30.82,-0.005823375
27/09/2013,31,0.001291156
26/09/2013,30.96,0.001292825
25/09/2013,30.92,0.001942377
24/09/2013,30.86,-0.011918324
23/09/2013,31.23,-0.006701796
20/09/2013,31.44,0.001591597
19/09/2013,31.39,-0.004450103
18/09/2013,31.53,0.01953625
17/09/2013,30.92,0.004538095
16/09/2013,30.78,0.00881063
13/09/2013,30.51,0.006576808
12/09/2013,30.31,-0.008868509
11/09/2013,30.58,-0.000326958
10/09/2013,30.59,0.011838349
09/09/2013,30.23,0.00963943
06/09/2013,29.94,-0.006989544
05/09/2013,30.15,-0.004962789
04/09/2013,30.3,0.005626359
03/09/2013,30.13,0.019099257
30/08/2013,29.56,-0.013774785
29/08/2013,29.97,0.003007521
28/08/2013,29.88,-0.008331993
27/08/2013,30.13,-0.021993337
26/08/2013,30.8,-0.003888534
23/08/2013,30.92,0.003563911
22/08/2013,30.81,0.012739026
21/08/2013,30.42,0.000657678
20/08/2013,30.4,0.009917437
19/08/2013,30.1,-0.010903792
16/08/2013,30.43,0.001973685
15/08/2013,30.37,-0.017624477
14/08/2013,30.91,0.004214628
13/08/2013,30.78,0.001625752
12/08/2013,30.73,-0.003573173
09/08/2013,30.84,-0.005497184
08/08/2013,31.01,-0.006108362
07/08/2013,31.2,-0.005433927
06/08/2013,31.37,-0.009202032
05/08/2013,31.66,-0.009118126
02/08/2013,31.95,-0.003436966
01/08/2013,32.06,0.02239488
31/07/2013,31.35,-0.001912046
30/07/2013,31.41,-0.01892204
29/07/2013,32.01,-0.006539024
26/07/2013,32.22,0.003108489
25/07/2013,32.12,0.010012599
24/07/2013,31.8,-0.013741628
23/07/2013,32.24,-0.024208322
22/07/2013,33.03,0.004551669
19/07/2013,32.88,0.005183729
18/07/2013,32.71,0.012613611
17/07/2013,32.3,0.00496587
16/07/2013,32.14,-0.008057062
15/07/2013,32.4,0.012110069
12/07/2013,32.01,0.014791772
11/07/2013,31.54,0.019206736
10/07/2013,30.94,-0.012845392
09/07/2013,31.34,0.011876243
08/07/2013,30.97,0.010386332
05/07/2013,30.65,0.013136478
03/07/2013,30.25,-0.007574546
02/07/2013,30.48,-0.004582659
01/07/2013,30.62,0.009845829
28/06/2013,30.32,-0.003949972
27/06/2013,30.44,0.01090019
26/06/2013,30.11,0.011692133
25/06/2013,29.76,0.014895333
24/06/2013,29.32,-0.008152219
21/06/2013,29.56,-0.014108397
20/06/2013,29.98,-0.027633337
19/06/2013,30.82,-0.027837344
18/06/2013,31.69,0.017829189
17/06/2013,31.13,0.002251167
14/06/2013,31.06,-0.00769728
13/06/2013,31.3,0.014805549
12/06/2013,30.84,-0.000648298
11/06/2013,30.86,-0.021795735
10/06/2013,31.54,0.007319046
07/06/2013,31.31,0.008338727
06/06/2013,31.05,0.008084118
05/06/2013,30.8,-0.018337332
04/06/2013,31.37,0.002873107
