Date,Close,IPG
04/04/2014,16.92,-0.009997143
03/04/2014,17.09,-0.008158553
02/04/2014,17.23,-0.004054451
01/04/2014,17.3,0.009291588
31/03/2014,17.14,0.005851392
28/03/2014,17.04,0.016568426
27/03/2014,16.76,0.008388306
26/03/2014,16.62,-0.018480407
25/03/2014,16.93,-0.001770434
24/03/2014,16.96,-0.002943776
21/03/2014,17.01,-0.008196767
20/03/2014,17.15,0.002335086
19/03/2014,17.11,-0.013352883
18/03/2014,17.34,0.012768601
17/03/2014,17.12,0.001168907
14/03/2014,17.1,-0.016816865
13/03/2014,17.39,-0.004017222
12/03/2014,17.46,-0.001716739
11/03/2014,17.49,0.001716739
10/03/2014,17.46,-0.016472966
07/03/2014,17.75,0.009054957
06/03/2014,17.59,0.015468656
05/03/2014,17.32,-0.000577201
04/03/2014,17.33,0.006367605
03/03/2014,17.22,-0.028622446
28/02/2014,17.72,0.013064656
27/02/2014,17.49,0.021966201
26/02/2014,17.11,-0.004664731
25/02/2014,17.19,0.001164144
24/02/2014,17.17,0.019406666
21/02/2014,16.84,-0.010632114
20/02/2014,17.02,0.018980404
19/02/2014,16.7,0.016908615
18/02/2014,16.42,-0.00364742
14/02/2014,16.48,-0.038683788
13/02/2014,17.13,0.009973682
12/02/2014,16.96,0.024471529
11/02/2014,16.55,-0.003016594
10/02/2014,16.6,0
07/02/2014,16.6,-0.006006024
06/02/2014,16.7,0.026085798
05/02/2014,16.27,-0.00612747
04/02/2014,16.37,0.019741542
03/02/2014,16.05,-0.0166825
31/01/2014,16.32,-0.015202482
30/01/2014,16.57,0.007876442
29/01/2014,16.44,-0.020470311
28/01/2014,16.78,0.018647157
27/01/2014,16.47,-0.019242927
24/01/2014,16.79,-0.024707139
23/01/2014,17.21,-0.020132978
22/01/2014,17.56,0.001709889
21/01/2014,17.53,0.004001149
17/01/2014,17.46,-0.004571437
16/01/2014,17.54,-0.010209958
15/01/2014,17.72,-0.001128032
14/01/2014,17.74,0.018777223
13/01/2014,17.41,-0.012557243
10/01/2014,17.63,0.01313179
09/01/2014,17.4,-0.006872879
08/01/2014,17.52,0.001142205
07/01/2014,17.5,0.007456301
06/01/2014,17.37,-0.01429004
03/01/2014,17.62,0.001135718
02/01/2014,17.6,-0.005665738
31/12/2013,17.7,0.007371737
30/12/2013,17.57,0.008573931
27/12/2013,17.42,0.005179868
26/12/2013,17.33,0.008111284
24/12/2013,17.19,0.011114475
23/12/2013,17,0.005899722
20/12/2013,16.9,0.007125921
19/12/2013,16.78,-0.002380954
18/12/2013,16.82,0.027118263
17/12/2013,16.37,-0.003658541
16/12/2013,16.43,-0.004251449
13/12/2013,16.5,-0.010850016
12/12/2013,16.68,-0.004784698
11/12/2013,16.76,-0.017741447
10/12/2013,17.06,-0.002926546
09/12/2013,17.11,0.013533599
06/12/2013,16.88,0.006537913
05/12/2013,16.77,-0.01303336
04/12/2013,16.99,0.001767305
03/12/2013,16.96,-0.01579442
02/12/2013,17.23,-0.009818156
29/11/2013,17.4,0.001150086
27/11/2013,17.38,0.005770356
26/11/2013,17.28,0.011641575
25/11/2013,17.08,-0.015107783
22/11/2013,17.34,0.00230947
