Date,Close,LH
04/04/2014,101.48,-0.009903498
03/04/2014,102.49,0.003420812
02/04/2014,102.14,-0.001271954
01/04/2014,102.27,0.040508332
31/03/2014,98.21,0.001732485
28/03/2014,98.04,0.001735491
27/03/2014,97.87,-0.007836791
26/03/2014,98.64,0.040657268
25/03/2014,94.71,-0.001477105
24/03/2014,94.85,-0.022723513
21/03/2014,97.03,0.001237496
20/03/2014,96.91,-0.013732538
19/03/2014,98.25,0.002547772
18/03/2014,98,0.021244483
17/03/2014,95.94,0.003236418
14/03/2014,95.63,-0.002506529
13/03/2014,95.87,-0.001042536
12/03/2014,95.97,0.007320677
11/03/2014,95.27,0.01757775
10/03/2014,93.61,-0.018102437
07/03/2014,95.32,0.013413096
06/03/2014,94.05,0.005223614
05/03/2014,93.56,0.005358495
04/03/2014,93.06,0.004091747
03/03/2014,92.68,-0.009236453
28/02/2014,93.54,0.004822385
27/02/2014,93.09,0.000429784
26/02/2014,93.05,-0.000859383
25/02/2014,93.13,-0.006741959
24/02/2014,93.76,0.002135384
21/02/2014,93.56,0.00934235
20/02/2014,92.69,0.006494232
19/02/2014,92.09,-0.002819347
18/02/2014,92.35,0.004449516
14/02/2014,91.94,0.001414966
13/02/2014,91.81,0.009081522
12/02/2014,90.98,-0.007009886
11/02/2014,91.62,0.002951306
10/02/2014,91.35,0.024377939
07/02/2014,89.15,-0.013038576
06/02/2014,90.32,0.017760869
05/02/2014,88.73,-0.00258878
04/02/2014,88.96,0.012442192
03/02/2014,87.86,-0.022174357
31/01/2014,89.83,0.008608695
30/01/2014,89.06,-0.00201907
29/01/2014,89.24,-0.011808091
28/01/2014,90.3,0.004439519
27/01/2014,89.9,-0.002222223
24/01/2014,90.1,-0.013778118
23/01/2014,91.35,-0.005567396
22/01/2014,91.86,0.006443532
21/01/2014,91.27,-0.005790151
17/01/2014,91.8,0.003273325
16/01/2014,91.5,0.004600731
15/01/2014,91.08,0.001208459
14/01/2014,90.97,0.002972425
13/01/2014,90.7,-0.014013805
10/01/2014,91.98,-0.006393953
09/01/2014,92.57,0.009333691
08/01/2014,91.71,-0.005111763
07/01/2014,92.18,0.02005217
06/01/2014,90.35,-0.004637818
03/01/2014,90.77,0.005966869
02/01/2014,90.23,-0.012555231
31/12/2013,91.37,0.002739878
30/12/2013,91.12,0.001647537
27/12/2013,90.97,0.002972425
26/12/2013,90.7,-0.003631765
24/12/2013,91.03,0.002089405
23/12/2013,90.84,0.009290047
20/12/2013,90,0.004342749
19/12/2013,89.61,-0.005564225
18/12/2013,90.11,0.006234018
17/12/2013,89.55,-0.003233182
16/12/2013,89.84,0.007934332
13/12/2013,89.13,0.015604116
12/12/2013,87.75,-0.005681833
11/12/2013,88.25,-0.116460159
10/12/2013,99.15,-0.01153184
09/12/2013,100.3,0.002995509
06/12/2013,100,0.007629027
05/12/2013,99.24,0.000604778
04/12/2013,99.18,-0.008233805
03/12/2013,100,-0.0009995
02/12/2013,100.1,-0.017331456
29/11/2013,101.85,-0.004213008
27/11/2013,102.28,-0.026722277
26/11/2013,105.05,-0.007492093
25/11/2013,105.84,0.00644552
22/11/2013,105.16,0.003143009
21/11/2013,104.83,0.006507823
20/11/2013,104.15,0.001825958
