Date,Close,KRFT
04/04/2014,56.8,-0.009113277
03/04/2014,57.32,0.011757615
02/04/2014,56.65,0.009577938
01/04/2014,56.11,0.000178237
31/03/2014,56.1,0.007155666
28/03/2014,55.7,0.002876665
27/03/2014,55.54,-0.006460898
26/03/2014,55.9,0.002507614
25/03/2014,55.76,0.005755412
24/03/2014,55.44,0.001263424
21/03/2014,55.37,-0.011849331
20/03/2014,56.03,0.004651171
19/03/2014,55.77,-0.007858587
18/03/2014,56.21,0.005172579
17/03/2014,55.92,0.008079764
14/03/2014,55.47,-0.003599068
13/03/2014,55.67,-0.000897747
12/03/2014,55.72,0.005398609
11/03/2014,55.42,-0.001802777
10/03/2014,55.52,-0.002338762
07/03/2014,55.65,0.000539229
06/03/2014,55.62,-0.000179775
05/03/2014,55.63,-0.003051245
04/03/2014,55.8,0.012624153
03/03/2014,55.1,-0.00308055
28/02/2014,55.27,0.001810939
27/02/2014,55.17,0.005270344
26/02/2014,54.88,-0.011053841
25/02/2014,55.49,0.006690198
24/02/2014,55.12,0.000544415
21/02/2014,55.09,-0.001994742
20/02/2014,55.2,0.01166194
19/02/2014,54.56,0.004224453
18/02/2014,54.33,0.010546864
14/02/2014,53.76,0.002794078
13/02/2014,53.61,0.00355041
12/02/2014,53.42,0.00469088
11/02/2014,53.17,-0.000376081
10/02/2014,53.19,0.016874038
07/02/2014,52.3,0.012506176
06/02/2014,51.65,0.010314385
05/02/2014,51.12,0.001174398
04/02/2014,51.06,-0.001174398
03/02/2014,51.12,-0.023776127
31/01/2014,52.35,-0.00628394
30/01/2014,52.68,0.009344971
29/01/2014,52.19,-0.01313429
28/01/2014,52.88,0.000756716
27/01/2014,52.84,-0.000945805
24/01/2014,52.89,-0.011280435
23/01/2014,53.49,-0.016869433
22/01/2014,54.4,0.00294551
21/01/2014,54.24,-0.009541357
17/01/2014,54.76,0.001279123
16/01/2014,54.69,0.003296706
15/01/2014,54.51,0.001652438
14/01/2014,54.42,0.017237013
13/01/2014,53.49,-0.005778747
10/01/2014,53.8,0.008961972
09/01/2014,53.32,0.001313691
08/01/2014,53.25,-0.012689105
07/01/2014,53.93,0.009314523
06/01/2014,53.43,-0.000374252
03/01/2014,53.45,-0.005224867
02/01/2014,53.73,-0.003344485
31/12/2013,53.91,-0.000556328
30/12/2013,53.94,0.004273114
27/12/2013,53.71,0.001490591
26/12/2013,53.63,0.005797118
24/12/2013,53.32,-0.011746196
23/12/2013,53.95,-0.000926355
