Date,Close,VFC
04/04/2014,60.36,-0.020335237
03/04/2014,61.6,-0.016582526
02/04/2014,62.63,0.007210992
01/04/2014,62.18,0.004836379
31/03/2014,61.88,0.008275909
28/03/2014,61.37,0.008344972
27/03/2014,60.86,0.003786324
26/03/2014,60.63,-0.005756121
25/03/2014,60.98,-0.014974238
24/03/2014,61.9,-0.006441246
21/03/2014,62.3,0.000321079
20/03/2014,62.28,0.009518504
19/03/2014,61.69,-0.007268061
18/03/2014,62.14,-0.003052947
17/03/2014,62.33,0.026169718
14/03/2014,60.72,-0.006402386
13/03/2014,61.11,-0.003593601
12/03/2014,61.33,-0.001954716
11/03/2014,61.45,-0.005517703
10/03/2014,61.79,0.00665749
07/03/2014,61.38,0.022572834
06/03/2014,60.01,0.002502713
05/03/2014,59.86,0.001671962
04/03/2014,59.76,0.020284671
03/03/2014,58.56,-0.000512164
28/02/2014,58.59,-0.006803904
27/02/2014,58.99,-0.014139269
26/02/2014,59.83,0.013969763
25/02/2014,59,0.002715548
24/02/2014,58.84,0.005966096
21/02/2014,58.49,0.007895681
20/02/2014,58.03,0.023715148
19/02/2014,56.67,0.003712547
18/02/2014,56.46,-0.006883797
14/02/2014,56.85,-0.052093326
13/02/2014,59.89,0.009394466
12/02/2014,59.33,-0.018039574
11/02/2014,60.41,0.02192373
10/02/2014,59.1,0.005939771
07/02/2014,58.75,0.022724338
06/02/2014,57.43,0.025393712
05/02/2014,55.99,-0.006763999
04/02/2014,56.37,-0.002126529
03/02/2014,56.49,-0.034108057
31/01/2014,58.45,-0.016290874
30/01/2014,59.41,0.031287277
29/01/2014,57.58,-0.018923668
28/01/2014,58.68,0.013208872
27/01/2014,57.91,0.002420471
24/01/2014,57.77,-0.006556269
23/01/2014,58.15,-0.014511565
22/01/2014,59,0.003735783
21/01/2014,58.78,-0.000170111
17/01/2014,58.79,-0.007118674
16/01/2014,59.21,-0.016914077
15/01/2014,60.22,-0.003646614
14/01/2014,60.44,0.00348057
13/01/2014,60.23,-0.036515874
10/01/2014,62.47,0.002885542
09/01/2014,62.29,0.01000331
08/01/2014,61.67,-0.002752815
07/01/2014,61.84,0.002104412
06/01/2014,61.71,-0.006461014
03/01/2014,62.11,-0.004337705
02/01/2014,62.38,0.000641437
31/12/2013,62.34,0.004340494
30/12/2013,62.07,0.007925638
27/12/2013,61.58,-0.008086733
26/12/2013,62.08,0.014276686
24/12/2013,61.2,0.003929278
23/12/2013,60.96,-1.394259601
20/12/2013,245.79,0.030192063
19/12/2013,238.48,-0.003599686
18/12/2013,239.34,0.018001793
17/12/2013,235.07,0.001617848
16/12/2013,234.69,0.000895198
13/12/2013,234.48,0.009598977
12/12/2013,232.24,0.013176335
11/12/2013,229.2,-0.008904392
10/12/2013,231.25,-0.007281533
09/12/2013,232.94,-0.002700908
06/12/2013,233.57,0.002443364
05/12/2013,233,-0.002357733
04/12/2013,233.55,-0.002095854
03/12/2013,234.04,-0.007237462
02/12/2013,235.74,0.004932822
29/11/2013,234.58,-0.001490916
27/11/2013,234.93,0.00225854
26/11/2013,234.4,0.004275338
25/11/2013,233.4,0.005585407
22/11/2013,232.1,0.033158985
21/11/2013,224.53,-0.00093485
20/11/2013,224.74,0.002138085
19/11/2013,224.26,-0.000802318
18/11/2013,224.44,-0.004977788
15/11/2013,225.56,0.004665949
14/11/2013,224.51,0.006703636
13/11/2013,223.01,0.023501671
12/11/2013,217.83,-0.005585072
11/11/2013,219.05,0.001416204
08/11/2013,218.74,0.007756068
07/11/2013,217.05,-0.024619568
06/11/2013,222.46,0.012256774
05/11/2013,219.75,0.005109733
04/11/2013,218.63,0.014419894
01/11/2013,215.5,0.002322881
31/10/2013,215,0.000186064
30/10/2013,214.96,-0.004826443
29/10/2013,216,-0.00254306
28/10/2013,216.55,0.020150875
25/10/2013,212.23,0.006997995
24/10/2013,210.75,-0.007986999
23/10/2013,212.44,0.004718325
22/10/2013,211.44,0.000993683
21/10/2013,211.23,0.033358085
18/10/2013,204.3,0.011866507
17/10/2013,201.89,0.002777642
16/10/2013,201.33,0.026473615
15/10/2013,196.07,-0.007671827
14/10/2013,197.58,0.007518832
11/10/2013,196.1,0.007010749
10/10/2013,194.73,0.011933501
09/10/2013,192.42,0.013920367
08/10/2013,189.76,-0.021324548
07/10/2013,193.85,-0.013628656
04/10/2013,196.51,0.010075523
03/10/2013,194.54,-0.006455933
02/10/2013,195.8,-0.015406751
01/10/2013,198.84,-0.001055568
30/09/2013,199.05,0.00286771
27/09/2013,198.48,-0.005677123
26/09/2013,199.61,0.001855335
25/09/2013,199.24,-0.016624742
24/09/2013,202.58,0.000691324
23/09/2013,202.44,-0.004337546
20/09/2013,203.32,-0.005737982
19/09/2013,204.49,0.021152259
18/09/2013,200.21,0.012767842
17/09/2013,197.67,0.008025236
16/09/2013,196.09,0.003013358
13/09/2013,195.5,0.004049107
12/09/2013,194.71,0.009028359
11/09/2013,192.96,0.004206597
10/09/2013,192.15,0.002501174
09/09/2013,191.67,0.002141384
06/09/2013,191.26,-0.010609627
05/09/2013,193.3,0.006175262
04/09/2013,192.11,0.016056594
03/09/2013,189.05,0.009780549
30/08/2013,187.21,0.001871308
29/08/2013,186.86,0.001445977
28/08/2013,186.59,0.002146039
27/08/2013,186.19,-0.015878424
26/08/2013,189.17,-0.01009844
23/08/2013,191.09,0.001728428
22/08/2013,190.76,0.001258917
21/08/2013,190.52,-0.004712791
20/08/2013,191.42,0.002720236
19/08/2013,190.9,-0.009644282
16/08/2013,192.75,-0.00155521
15/08/2013,193.05,-0.016338218
14/08/2013,196.23,-0.014670437
13/08/2013,199.13,0.004731711
12/08/2013,198.19,-0.003525742
09/08/2013,198.89,-0.000201096
08/08/2013,198.93,0.003121541
07/08/2013,198.31,-0.013771908
06/08/2013,201.06,-0.000447527
05/08/2013,201.15,-0.005700846
02/08/2013,202.3,0.006098638
01/08/2013,201.07,0.020449377
31/07/2013,197,-0.002636116
30/07/2013,197.52,0.001976435
29/07/2013,197.13,-0.009893574
26/07/2013,199.09,0.006551122
25/07/2013,197.79,0.005475299
24/07/2013,196.71,0.002697958
23/07/2013,196.18,0.006751253
22/07/2013,194.86,-0.010617762
19/07/2013,196.94,-0.013065487
18/07/2013,199.53,0.010276651
17/07/2013,197.49,-0.003437298
16/07/2013,198.17,-0.006739112
15/07/2013,199.51,-0.000250583
12/07/2013,199.56,-0.000801443
11/07/2013,199.72,0.009205065
10/07/2013,197.89,-0.002977019
09/07/2013,198.48,0.007484611
08/07/2013,197,0.003661518
05/07/2013,196.28,0.012612318
03/07/2013,193.82,0.00123903
02/07/2013,193.58,-0.007462529
01/07/2013,195.03,0.010152371
28/06/2013,193.06,0.00508907
27/06/2013,192.08,0.004016803
26/06/2013,191.31,0.016336788
25/06/2013,188.21,0.01369518
24/06/2013,185.65,-0.001991014
21/06/2013,186.02,-0.004344918
