Date,Close,SNDK
04/04/2014,80.95,-0.015566901
03/04/2014,82.22,-0.001701301
02/04/2014,82.36,-0.009185465
01/04/2014,83.12,0.02349326
31/03/2014,81.19,0.007169376
28/03/2014,80.61,0.026778896
27/03/2014,78.48,-0.017431286
26/03/2014,79.86,-0.010835152
25/03/2014,80.73,0.007834399
24/03/2014,80.1,0
21/03/2014,80.1,-0.007710522
20/03/2014,80.72,0.024200291
19/03/2014,78.79,0.012387618
18/03/2014,77.82,0.040383043
17/03/2014,74.74,0.019727704
14/03/2014,73.28,-0.004764831
13/03/2014,73.63,-0.018568887
12/03/2014,75.01,0.002268937
11/03/2014,74.84,0.00535907
10/03/2014,74.44,0.00040309
07/03/2014,74.41,-0.013879844
06/03/2014,75.45,-0.013689828
05/03/2014,76.49,0.003011459
04/03/2014,76.26,0.01506172
03/03/2014,75.12,0.010975883
28/02/2014,74.3,-0.026299829
27/02/2014,76.28,-0.003402699
26/02/2014,76.54,0.009055774
25/02/2014,75.85,0.000527496
24/02/2014,75.81,0.013412325
21/02/2014,74.8,-0.006795043
20/02/2014,75.31,0.010411199
19/02/2014,74.53,-0.000804721
18/02/2014,74.59,0
14/02/2014,74.59,0.002550508
13/02/2014,74.4,0.031679329
12/02/2014,72.08,-0.002909194
11/02/2014,72.29,0.008613557
10/02/2014,71.67,0.000837521
07/02/2014,71.61,0.01931678
06/02/2014,70.24,0.021004944
05/02/2014,68.78,0.007882102
04/02/2014,68.24,0.012534264
03/02/2014,67.39,-0.031549279
31/01/2014,69.55,-0.009729652
30/01/2014,70.23,0.01694469
29/01/2014,69.05,-0.007933687
28/01/2014,69.6,0.000862441
27/01/2014,69.54,0.000863185
24/01/2014,69.48,-0.035904917
23/01/2014,72.02,-0.002357674
22/01/2014,72.19,0.004164359
21/01/2014,71.89,-0.024729932
17/01/2014,73.69,0.008449219
16/01/2014,73.07,0.0083832
15/01/2014,72.46,0.002902358
14/01/2014,72.25,0.014920447
13/01/2014,71.18,-0.019753042
10/01/2014,72.6,-0.000826105
09/01/2014,72.66,-0.010813876
08/01/2014,73.45,0.058448638
07/01/2014,69.28,0.013514701
06/01/2014,68.35,-0.007433895
03/01/2014,68.86,-0.007523184
02/01/2014,69.38,-0.016581283
31/12/2013,70.54,0.006685182
30/12/2013,70.07,-0.002423207
27/12/2013,70.24,-0.003552906
26/12/2013,70.49,0.002130229
24/12/2013,70.34,0.00113798
23/12/2013,70.26,0.01073202
20/12/2013,69.51,0.012303839
19/12/2013,68.66,-0.001600815
18/12/2013,68.77,0.009496748
17/12/2013,68.12,0.017026098
16/12/2013,66.97,0.010507452
13/12/2013,66.27,0.010466535
12/12/2013,65.58,-0.026929044
11/12/2013,67.37,-0.023326811
10/12/2013,68.96,-0.001593857
09/12/2013,69.07,0.016054052
06/12/2013,67.97,0.01646555
05/12/2013,66.86,-0.008044137
04/12/2013,67.4,-0.007391017
03/12/2013,67.9,-0.004994869
02/12/2013,68.24,0.001319745
29/11/2013,68.15,0.003969718
27/11/2013,67.88,0.012750358
26/11/2013,67.02,0.017611654
25/11/2013,65.85,-0.02326559
22/11/2013,67.4,0
21/11/2013,67.4,0.017209553
20/11/2013,66.25,-0.023274212
19/11/2013,67.81,-0.012457111
18/11/2013,68.66,-0.020042485
15/11/2013,70.05,-0.001569075
14/11/2013,70.16,0.003712699
13/11/2013,69.9,0.011655647
12/11/2013,69.09,0.002028398
11/11/2013,68.95,0.013138875
08/11/2013,68.05,0.017043762
07/11/2013,66.9,-0.018071889
06/11/2013,68.12,-0.012545752
05/11/2013,68.98,-0.011530828
04/11/2013,69.78,0.011675808
01/11/2013,68.97,-0.007655125
31/10/2013,69.5,-0.005166487
30/10/2013,69.86,-0.013365761
29/10/2013,70.8,0.00822583
28/10/2013,70.22,0.017236853
25/10/2013,69.02,-0.005634632
24/10/2013,69.41,0.017000046
23/10/2013,68.24,-0.015702562
22/10/2013,69.32,-0.005610315
21/10/2013,69.71,0.014157994
18/10/2013,68.73,0.00335204
17/10/2013,68.5,0.084651854
16/10/2013,62.94,0.003979946
15/10/2013,62.69,-0.005408858
14/10/2013,63.03,0.013738235
11/10/2013,62.17,-0.001446597
10/10/2013,62.26,0.012607246
09/10/2013,61.48,0.005218538
08/10/2013,61.16,-0.018146966
07/10/2013,62.28,-0.006561598
04/10/2013,62.69,0.018514575
03/10/2013,61.54,0.000975451
02/10/2013,61.48,0.02320137
01/10/2013,60.07,0.009366183
30/09/2013,59.51,-0.007199696
27/09/2013,59.94,-0.002166487
26/09/2013,60.07,-0.003655704
25/09/2013,60.29,0.003156411
24/09/2013,60.1,0.011042441
23/09/2013,59.44,-0.001848895
20/09/2013,59.55,-0.007861544
19/09/2013,60.02,-0.005317394
18/09/2013,60.34,-0.001821343
17/09/2013,60.45,-0.003303058
16/09/2013,60.65,-0.003620807
13/09/2013,60.87,0.013063435
12/09/2013,60.08,-0.010101932
11/09/2013,60.69,0.003466208
10/09/2013,60.48,0.019534806
09/09/2013,59.31,0.016489961
06/09/2013,58.34,0.006362329
05/09/2013,57.97,0.014421239
04/09/2013,57.14,0.032550673
03/09/2013,55.31,0.002353155
30/08/2013,55.18,-0.012068957
29/08/2013,55.85,0.01497277
28/08/2013,55.02,0.018157308
27/08/2013,54.03,-0.047176002
26/08/2013,56.64,-0.003172927
23/08/2013,56.82,-0.004214969
22/08/2013,57.06,0.018216084
21/08/2013,56.03,0.006984895
20/08/2013,55.64,0.007939414
19/08/2013,55.2,-0.010990112
16/08/2013,55.81,-0.002326623
