Date,Close,ECL
04/04/2014,107.18,-0.017296829
03/04/2014,109.05,0.00422717
02/04/2014,108.59,-0.000644419
01/04/2014,108.66,0.006185111
31/03/2014,107.99,0.016432075
28/03/2014,106.23,0.000282446
27/03/2014,106.2,-0.007971906
26/03/2014,107.05,-0.011701471
25/03/2014,108.31,-0.014027276
24/03/2014,109.84,-0.008070044
21/03/2014,110.73,0.00625087
20/03/2014,110.04,0.006564575
19/03/2014,109.32,-0.009287147
18/03/2014,110.34,0.00290434
17/03/2014,110.02,0.012714555
14/03/2014,108.63,-0.005691222
13/03/2014,109.25,-0.012462071
12/03/2014,110.62,-0.005589125
11/03/2014,111.24,0.009574637
10/03/2014,110.18,0.003090631
07/03/2014,109.84,-0.000182066
06/03/2014,109.86,0.00437877
05/03/2014,109.38,-0.002556612
04/03/2014,109.66,0.015438645
03/03/2014,107.98,0.002132296
28/02/2014,107.75,0.010261284
27/02/2014,106.65,0.011505219
26/02/2014,105.43,0.008094897
25/02/2014,104.58,0.021163277
24/02/2014,102.39,0.001955226
21/02/2014,102.19,0.003136335
20/02/2014,101.87,-0.000981162
19/02/2014,101.97,-0.010826733
18/02/2014,103.08,-0.000678854
14/02/2014,103.15,0.008274567
13/02/2014,102.3,0.011403977
12/02/2014,101.14,-0.00266601
11/02/2014,101.41,0.007820661
10/02/2014,100.62,0.004881703
07/02/2014,100.13,0.002399761
06/02/2014,99.89,0.007334873
05/02/2014,99.16,0.004649761
04/02/2014,98.7,0.006811392
03/02/2014,98.03,-0.025282104
31/01/2014,100.54,-0.002880272
30/01/2014,100.83,0.005968385
29/01/2014,100.23,0.003798485
28/01/2014,99.85,0.010976395
27/01/2014,98.76,-0.005956305
24/01/2014,99.35,-0.025735436
23/01/2014,101.94,-0.017021274
22/01/2014,103.69,-0.00202322
21/01/2014,103.9,-0.00240327
17/01/2014,104.15,-0.00287632
16/01/2014,104.45,0.007978127
15/01/2014,103.62,-0.006828591
14/01/2014,104.33,0.011859561
13/01/2014,103.1,-0.021968364
10/01/2014,105.39,0.003707405
09/01/2014,105,0.008224202
08/01/2014,104.14,0.007808398
07/01/2014,103.33,0.0102136
06/01/2014,102.28,-0.015907222
03/01/2014,103.92,0.001251745
02/01/2014,103.79,-0.004614062
31/12/2013,104.27,0.001535656
30/12/2013,104.11,-0.003451916
27/12/2013,104.47,-0.002199169
26/12/2013,104.7,-0.002194343
24/12/2013,104.93,0.006213872
23/12/2013,104.28,0.000383656
20/12/2013,104.24,0.012452499
19/12/2013,102.95,-0.010916401
18/12/2013,104.08,0.019598959
17/12/2013,102.06,-0.00039185
16/12/2013,102.1,-0.004690257
13/12/2013,102.58,-0.0025314
12/12/2013,102.84,-0.003881992
11/12/2013,103.24,-0.017380052
10/12/2013,105.05,-0.006735949
09/12/2013,105.76,0.000662095
06/12/2013,105.69,0.025295974
05/12/2013,103.05,-0.003487362
04/12/2013,103.41,-0.00231817
03/12/2013,103.65,-0.020057979
02/12/2013,105.75,-0.013338541
29/11/2013,107.17,0.001961426
27/11/2013,106.96,-0.009583697
26/11/2013,107.99,0.014081456
25/11/2013,106.48,-0.009161511
22/11/2013,107.46,0.000372301
21/11/2013,107.42,0.007756686
20/11/2013,106.59,9.38218E-05
19/11/2013,106.58,-0.004586949
18/11/2013,107.07,-0.005030754
15/11/2013,107.61,0.005404411
14/11/2013,107.03,0.006937961
13/11/2013,106.29,-0.001316285
12/11/2013,106.43,0.004142742
11/11/2013,105.99,-0.005363457
08/11/2013,106.56,0.018373469
07/11/2013,104.62,-0.01677685
06/11/2013,106.39,0.010108253
05/11/2013,105.32,-0.00605833
04/11/2013,105.96,0.002551383
01/11/2013,105.69,-0.002928813
31/10/2013,106,-0.003390472
30/10/2013,106.36,-0.010475217
29/10/2013,107.48,0.040054704
28/10/2013,103.26,-0.018423089
25/10/2013,105.18,0.002475013
24/10/2013,104.92,0.015754408
23/10/2013,103.28,-0.009444033
22/10/2013,104.26,0.015854934
21/10/2013,102.62,-0.008635381
18/10/2013,103.51,0.011758553
17/10/2013,102.3,0.004506719
16/10/2013,101.84,0.022040007
15/10/2013,99.62,-0.010882152
14/10/2013,100.71,0.006874934
11/10/2013,100.02,0.011968964
10/10/2013,98.83,0.012216379
09/10/2013,97.63,0.00740211
08/10/2013,96.91,-0.003707904
07/10/2013,97.27,-0.021057693
04/10/2013,99.34,0.016032814
03/10/2013,97.76,-0.017742646
02/10/2013,99.51,0.000301523
01/10/2013,99.48,0.007263954
30/09/2013,98.76,0.006603366
27/09/2013,98.11,-0.010241939
26/09/2013,99.12,0.004955762
25/09/2013,98.63,0.002741258
24/09/2013,98.36,-0.000101662
23/09/2013,98.37,0.002442749
20/09/2013,98.13,-0.006804475
19/09/2013,98.8,-0.002022245
18/09/2013,99,0.027963106
17/09/2013,96.27,-0.006006646
16/09/2013,96.85,0.01204959
13/09/2013,95.69,-0.003234392
12/09/2013,96,-0.001041125
11/09/2013,96.1,0.007415565
10/09/2013,95.39,0.016915511
09/09/2013,93.79,0.011366196
06/09/2013,92.73,-0.004196939
05/09/2013,93.12,-0.006529325
04/09/2013,93.73,0.012345173
03/09/2013,92.58,0.013374853
30/08/2013,91.35,-0.003169575
29/08/2013,91.64,0.00887823
28/08/2013,90.83,0.002535414
27/08/2013,90.6,-0.020105572
26/08/2013,92.44,0.007928361
23/08/2013,91.71,0.001855389
22/08/2013,91.54,0.009328938
21/08/2013,90.69,0.000992884
