Date,Close,BHI
04/04/2014,65.68,0.000609199
03/04/2014,65.64,-0.001218027
02/04/2014,65.72,0.002132522
01/04/2014,65.58,0.008575857
31/03/2014,65.02,-0.003837598
28/03/2014,65.27,0.025919042
27/03/2014,63.6,0.012658397
26/03/2014,62.8,0.000955871
25/03/2014,62.74,0.017688192
24/03/2014,61.64,-0.007595996
21/03/2014,62.11,0.012311835
20/03/2014,61.35,-0.002767154
19/03/2014,61.52,-0.005188079
18/03/2014,61.84,-0.015404669
17/03/2014,62.8,0.016051709
14/03/2014,61.8,0.003566222
13/03/2014,61.58,-0.001622587
12/03/2014,61.68,-0.010803943
11/03/2014,62.35,-0.015595478
10/03/2014,63.33,0.000473821
07/03/2014,63.3,-0.002839567
06/03/2014,63.48,0.00695545
05/03/2014,63.04,-0.014644778
04/03/2014,63.97,0.011951707
03/03/2014,63.21,-0.001106807
28/02/2014,63.28,0.014645279
27/02/2014,62.36,0.004983533
26/02/2014,62.05,-0.004020914
25/02/2014,62.3,-0.012442336
24/02/2014,63.08,0.033202083
21/02/2014,61.02,-0.003435586
20/02/2014,61.23,0.008693567
19/02/2014,60.7,-0.007713175
18/02/2014,61.17,0.024659917
14/02/2014,59.68,-0.001506907
13/02/2014,59.77,0.001339361
12/02/2014,59.69,-0.01331356
11/02/2014,60.49,0.023754881
10/02/2014,59.07,-0.007421184
07/02/2014,59.51,0.022946532
06/02/2014,58.16,0.019971142
05/02/2014,57.01,-0.000701385
04/02/2014,57.05,0.015011319
03/02/2014,56.2,-0.007798692
31/01/2014,56.64,-0.006335818
30/01/2014,57,0.021098203
29/01/2014,55.81,-0.007675183
28/01/2014,56.24,-0.000177794
27/01/2014,56.25,-0.003194891
24/01/2014,56.43,-0.00899715
23/01/2014,56.94,0.002813931
22/01/2014,56.78,0.00088098
21/01/2014,56.73,0.046729887
17/01/2014,54.14,0.007601779
16/01/2014,53.73,0.004289851
15/01/2014,53.5,0.008635308
14/01/2014,53.04,0.009281249
13/01/2014,52.55,-0.009658251
10/01/2014,53.06,0.023647174
09/01/2014,51.82,-0.007497872
08/01/2014,52.21,-0.011047731
07/01/2014,52.79,-0.011488967
06/01/2014,53.4,-0.003551738
03/01/2014,53.59,-0.00891702
02/01/2014,54.07,-0.021769816
31/12/2013,55.26,0.01476647
30/12/2013,54.45,-0.005859749
27/12/2013,54.77,0.003475084
26/12/2013,54.58,0.010683469
24/12/2013,54,0.006688988
23/12/2013,53.64,-0.003164265
20/12/2013,53.81,0.011588915
19/12/2013,53.19,-0.008797436
18/12/2013,53.66,0.018811691
17/12/2013,52.66,-0.010765993
16/12/2013,53.23,0.009816956
13/12/2013,52.71,-0.0060526
12/12/2013,53.03,0.011188132
11/12/2013,52.44,-0.016079037
10/12/2013,53.29,-0.008408907
09/12/2013,53.74,-0.001673329
06/12/2013,53.83,-0.003153114
05/12/2013,54,-0.012879663
04/12/2013,54.7,-0.035028278
03/12/2013,56.65,0.007085946
02/12/2013,56.25,-0.012543226
29/11/2013,56.96,0.004046096
27/11/2013,56.73,-0.003343602
26/11/2013,56.92,-0.001930672
25/11/2013,57.03,-0.015312636
22/11/2013,57.91,0.000345423
21/11/2013,57.89,0.017073585
20/11/2013,56.91,-0.00438328
19/11/2013,57.16,-0.002969694
18/11/2013,57.33,-0.016263334
15/11/2013,58.27,-0.0001716
14/11/2013,58.28,0.012604846
13/11/2013,57.55,0.007324762
12/11/2013,57.13,-0.021129986
11/11/2013,58.35,0.007396611
08/11/2013,57.92,0.034246915
07/11/2013,55.97,-0.034937285
06/11/2013,57.96,0.001381216
05/11/2013,57.88,-0.009115206
04/11/2013,58.41,0.002056556
01/11/2013,58.29,0.00343702
31/10/2013,58.09,-0.004808527
30/10/2013,58.37,-0.004956004
29/10/2013,58.66,0.010453355
28/10/2013,58.05,-0.003095978
25/10/2013,58.23,0.020122101
24/10/2013,57.07,0.015361828
23/10/2013,56.2,-0.016762633
22/10/2013,57.15,0.0203277
21/10/2013,56,0.008068175
18/10/2013,55.55,0.070279542
17/10/2013,51.78,0.015570575
16/10/2013,50.98,0.017013269
15/10/2013,50.12,-0.005967792
14/10/2013,50.42,0.003775464
11/10/2013,50.23,0.011815497
10/10/2013,49.64,0.020350723
09/10/2013,48.64,-0.005944468
08/10/2013,48.93,-0.001633654
07/10/2013,49.01,-0.008937699
04/10/2013,49.45,0.013436684
03/10/2013,48.79,-0.017070116
02/10/2013,49.63,-0.00060429
01/10/2013,49.66,0.011340745
30/09/2013,49.1,-0.008719512
27/09/2013,49.53,0.001212121
26/09/2013,49.47,0.001011225
25/09/2013,49.42,0.003242808
24/09/2013,49.26,0.000406091
23/09/2013,49.24,-0.012111573
20/09/2013,49.84,-0.007794583
19/09/2013,50.23,-0.002981813
18/09/2013,50.38,0.002384739
17/09/2013,50.26,0.006187027
