Date,Close,NWL
04/04/2014,29.31,-0.014227882
03/04/2014,29.73,-0.018330792
02/04/2014,30.28,-0.000660284
01/04/2014,30.3,0.013289232
31/03/2014,29.9,0.024374937
28/03/2014,29.18,-0.001369863
27/03/2014,29.22,-0.012920955
26/03/2014,29.6,-0.006398405
25/03/2014,29.79,-0.002012073
24/03/2014,29.85,0.003355708
21/03/2014,29.75,0.001008912
20/03/2014,29.72,0.003032858
19/03/2014,29.63,-0.01241002
18/03/2014,30,0.011735256
17/03/2014,29.65,0.011192248
14/03/2014,29.32,-0.00882858
13/03/2014,29.58,-0.039766671
12/03/2014,30.78,-0.006476707
11/03/2014,30.98,-0.006435029
10/03/2014,31.18,-0.004480007
07/03/2014,31.32,-0.004460027
06/03/2014,31.46,-0.006337157
05/03/2014,31.66,-0.010681848
04/03/2014,32,0.004698521
03/03/2014,31.85,-0.008130126
28/02/2014,32.11,0.005621501
27/02/2014,31.93,0.013875972
26/02/2014,31.49,-0.002853974
25/02/2014,31.58,-0.015397005
24/02/2014,32.07,0.008769239
21/02/2014,31.79,-0.000628931
20/02/2014,31.81,0.011381723
19/02/2014,31.45,-0.001905973
18/02/2014,31.51,0.00477176
14/02/2014,31.36,0.003833871
13/02/2014,31.24,0.013535495
12/02/2014,30.82,0.008144694
11/02/2014,30.57,-0.005870858
10/02/2014,30.75,-0.002273836
07/02/2014,30.82,0.009454023
06/02/2014,30.53,0.005254528
05/02/2014,30.37,-0.008198111
04/02/2014,30.62,0.016796048
03/02/2014,30.11,-0.025898841
31/01/2014,30.9,0.020599061
30/01/2014,30.27,-0.002309851
29/01/2014,30.34,-0.02055202
28/01/2014,30.97,0.006803849
27/01/2014,30.76,-0.006157854
24/01/2014,30.95,-0.019834303
23/01/2014,31.57,-0.010085178
22/01/2014,31.89,0.00345532
21/01/2014,31.78,0.000314713
17/01/2014,31.77,-0.01064506
16/01/2014,32.11,0.001246494
15/01/2014,32.07,0.007197653
14/01/2014,31.84,0.005037794
13/01/2014,31.68,-0.010987397
10/01/2014,32.03,0.003440191
09/01/2014,31.92,-0.002815581
08/01/2014,32.01,-0.003430535
07/01/2014,32.12,0.000622859
06/01/2014,32.1,-0.009302393
03/01/2014,32.4,0.006813281
02/01/2014,32.18,-0.007121876
31/12/2013,32.41,0.001852996
30/12/2013,32.35,0.004647568
27/12/2013,32.2,-0.001551591
26/12/2013,32.25,0.004350535
24/12/2013,32.11,0.00750238
23/12/2013,31.87,0.007242986
20/12/2013,31.64,-0.014433887
19/12/2013,32.1,0.00625002
18/12/2013,31.9,0.025076699
17/12/2013,31.11,0.000964785
16/12/2013,31.08,0.010349381
13/12/2013,30.76,-0.010992675
12/12/2013,31.1,0.002898086
11/12/2013,31.01,-0.006428823
10/12/2013,31.21,0.00901197
09/12/2013,30.93,0.000646831
06/12/2013,30.91,0.019602065
05/12/2013,30.31,-0.002964917
04/12/2013,30.4,0.012245726
03/12/2013,30.03,0.004004009
02/12/2013,29.91,-0.014603645
29/11/2013,30.35,-0.002303769
27/11/2013,30.42,0.002303769
26/11/2013,30.35,0.002309089
25/11/2013,30.28,-0.001979545
22/11/2013,30.34,0.006613781
21/11/2013,30.14,0.016391068
20/11/2013,29.65,-0.001011293
19/11/2013,29.68,-0.002019523
18/11/2013,29.74,-0.012032231
15/11/2013,30.1,0.007335811
14/11/2013,29.88,0.002345453
13/11/2013,29.81,0.011471111
12/11/2013,29.47,0.009204087
11/11/2013,29.2,0.006528111
