Date,Close,M
04/04/2014,59.74,-0.01429308
03/04/2014,60.6,-0.000659848
02/04/2014,60.64,0.018810376
01/04/2014,59.51,0.003703708
31/03/2014,59.29,0.006260066
28/03/2014,58.92,0.008864702
27/03/2014,58.4,0.005322358
26/03/2014,58.09,0.001378123
25/03/2014,58.01,-0.006871699
24/03/2014,58.41,-0.009541732
21/03/2014,58.97,0.004589113
20/03/2014,58.7,0.002558637
19/03/2014,58.55,-0.005620384
18/03/2014,58.88,-0.000339616
17/03/2014,58.9,0.005447749
14/03/2014,58.58,0.00633618
13/03/2014,58.21,-0.00940419
12/03/2014,58.76,-0.003058626
11/03/2014,58.94,0.014010139
10/03/2014,58.12,0.001205131
07/03/2014,58.05,0.013004084
06/03/2014,57.3,-0.000348979
05/03/2014,57.32,-0.005740644
04/03/2014,57.65,0.000520517
03/03/2014,57.62,-0.00415657
28/02/2014,57.86,0
27/02/2014,57.86,-0.001726818
26/02/2014,57.96,0.029947076
25/02/2014,56.25,0.058382692
24/02/2014,53.06,-0.012175855
21/02/2014,53.71,0.004665493
20/02/2014,53.46,0.002247192
19/02/2014,53.34,0.003568414
18/02/2014,53.15,-0.004692641
14/02/2014,53.4,0.004880806
13/02/2014,53.14,0.006040033
12/02/2014,52.82,-0.014099303
11/02/2014,53.57,0.012396853
10/02/2014,52.91,-0.00339623
07/02/2014,53.09,0.010413802
06/02/2014,52.54,0.022909848
05/02/2014,51.35,0.007427712
04/02/2014,50.97,0.001177856
03/02/2014,50.91,-0.043999028
31/01/2014,53.2,-0.013257593
30/01/2014,53.91,0.009692527
29/01/2014,53.39,-0.020026629
28/01/2014,54.47,0.005338255
27/01/2014,54.18,-0.004419897
24/01/2014,54.42,-0.01151013
23/01/2014,55.05,-0.005976655
22/01/2014,55.38,-0.003245
21/01/2014,55.56,-0.011986904
17/01/2014,56.23,0.003563161
16/01/2014,56.03,0.004113392
15/01/2014,55.8,0.000896459
14/01/2014,55.75,0.008828091
13/01/2014,55.26,-0.010441139
10/01/2014,55.84,0.000716589
09/01/2014,55.8,0.073611817
08/01/2014,51.84,-0.006537228
07/01/2014,52.18,-0.018418825
06/01/2014,53.15,-0.007310933
03/01/2014,53.54,0.002805576
02/01/2014,53.39,-0.000187283
31/12/2013,53.4,-0.00504344
30/12/2013,53.67,0.018238731
27/12/2013,52.7,-0.002463756
26/12/2013,52.83,0.00227402
24/12/2013,52.71,-0.002652521
23/12/2013,52.85,0.01103512
20/12/2013,52.27,0.00076555
19/12/2013,52.23,0.001724634
18/12/2013,52.14,0.009055066
17/12/2013,51.67,0.00116189
16/12/2013,51.61,0.003882746
13/12/2013,51.41,-0.004657489
12/12/2013,51.65,-0.008290802
11/12/2013,52.08,0.005777024
10/12/2013,51.78,-0.007886931
09/12/2013,52.19,0.006921773
06/12/2013,51.83,0.005610927
05/12/2013,51.54,-0.009654448
04/12/2013,52.04,-0.014687913
03/12/2013,52.81,0.007030908
02/12/2013,52.44,-0.015515921
29/11/2013,53.26,-0.005243458
27/11/2013,53.54,0.011269841
26/11/2013,52.94,0.012545308
25/11/2013,52.28,0.019703168
22/11/2013,51.26,0.008817535
21/11/2013,50.81,-0.002947826
20/11/2013,50.96,0.010851443
19/11/2013,50.41,-0.001189532
18/11/2013,50.47,-0.012209683
15/11/2013,51.09,0.008057428
14/11/2013,50.68,0
13/11/2013,50.68,0.089741656
12/11/2013,46.33,-0.015846156
11/11/2013,47.07,0.019089051
08/11/2013,46.18,0.004775351
07/11/2013,45.96,-0.009528006
06/11/2013,46.4,0.005619206
05/11/2013,46.14,-0.007556983
04/11/2013,46.49,0.011465783
01/11/2013,45.96,-0.003258393
31/10/2013,46.11,-0.006269613
30/10/2013,46.4,0.005835962
29/10/2013,46.13,0.015070723
28/10/2013,45.44,0.012177722
25/10/2013,44.89,-0.004667194
24/10/2013,45.1,0.012494585
23/10/2013,44.54,-0.001346197
22/10/2013,44.6,0.008104502
21/10/2013,44.24,-0.003384862
18/10/2013,44.39,-0.00157569
17/10/2013,44.46,0.015184428
