Date,Close,BBBY
04/04/2014,69.22,-0.008344172
03/04/2014,69.8,0.005314959
02/04/2014,69.43,0.000720409
01/04/2014,69.38,0.008394897
31/03/2014,68.8,0.00539242
28/03/2014,68.43,0.01501795
27/03/2014,67.41,0.002376356
26/03/2014,67.25,-0.007112195
25/03/2014,67.73,0.006963507
24/03/2014,67.26,-0.004302358
21/03/2014,67.55,-0.003989072
20/03/2014,67.82,-0.001031612
19/03/2014,67.89,-0.00616742
18/03/2014,68.31,0.003078956
17/03/2014,68.1,-0.002932553
14/03/2014,68.3,-0.003361839
13/03/2014,68.53,-0.009440198
12/03/2014,69.18,-0.001588792
11/03/2014,69.29,-0.002450452
10/03/2014,69.46,0.004328387
07/03/2014,69.16,0.013098717
06/03/2014,68.26,-0.00744366
05/03/2014,68.77,0.010965824
04/03/2014,68.02,0.00235502
03/03/2014,67.86,0.000589623
28/02/2014,67.82,0.006212119
27/02/2014,67.4,-0.010919394
26/02/2014,68.14,0.014039985
25/02/2014,67.19,0.018021212
24/02/2014,65.99,0.015269803
21/02/2014,64.99,-0.002151861
20/02/2014,65.13,-0.005512187
19/02/2014,65.49,-0.003049248
18/02/2014,65.69,-0.004101791
14/02/2014,65.96,0.015738731
13/02/2014,64.93,0.005250166
12/02/2014,64.59,0.00543353
11/02/2014,64.24,-0.001089071
10/02/2014,64.31,0.003114782
07/02/2014,64.11,0.001717275
06/02/2014,64,0.014955021
05/02/2014,63.05,-0.010727347
04/02/2014,63.73,0.016612992
03/02/2014,62.68,-0.018494165
31/01/2014,63.85,-0.003907781
30/01/2014,64.1,-0.00389257
29/01/2014,64.35,-0.011433994
28/01/2014,65.09,0.011900303
27/01/2014,64.32,-0.004188975
24/01/2014,64.59,-0.0165826
23/01/2014,65.67,0.008256928
22/01/2014,65.13,-0.014026758
21/01/2014,66.05,0
17/01/2014,66.05,-0.016516892
16/01/2014,67.15,-0.002825491
15/01/2014,67.34,0.009699397
14/01/2014,66.69,-0.02385475
13/01/2014,68.3,-0.023727965
10/01/2014,69.94,0.002720311
09/01/2014,69.75,-0.133101193
08/01/2014,79.68,0.00591606
07/01/2014,79.21,0.000757767
06/01/2014,79.15,-0.01666392
03/01/2014,80.48,0.005607142
02/01/2014,80.03,-0.003368057
31/12/2013,80.3,0.002119305
30/12/2013,80.13,0.010160012
27/12/2013,79.32,-0.002644005
26/12/2013,79.53,0.011126679
24/12/2013,78.65,0.002928633
23/12/2013,78.42,0.012963026
20/12/2013,77.41,-0.001419996
19/12/2013,77.52,-0.012052973
18/12/2013,78.46,0.01943308
17/12/2013,76.95,0.00182102
16/12/2013,76.81,0.003782695
13/12/2013,76.52,0
12/12/2013,76.52,-0.009365313
11/12/2013,77.24,-0.009919566
10/12/2013,78.01,0.0042392
09/12/2013,77.68,-0.005776282
06/12/2013,78.13,0.012104191
05/12/2013,77.19,0.002074959
04/12/2013,77.03,-0.014307133
03/12/2013,78.14,0.001793263
02/12/2013,78,-0.000384541
29/11/2013,78.03,-0.003454235
27/11/2013,78.3,-0.003569611
26/11/2013,78.58,0.01100459
25/11/2013,77.72,0.00335095
22/11/2013,77.46,0.008036336
21/11/2013,76.84,0.006135389
20/11/2013,76.37,-0.010679966
19/11/2013,77.19,0.000129559
18/11/2013,77.18,-0.012617652
15/11/2013,78.16,0.000767951
14/11/2013,78.1,-0.000767951
13/11/2013,78.16,0.022513566
12/11/2013,76.42,-0.001830305
11/11/2013,76.56,0.010504298
08/11/2013,75.76,0.003570252
07/11/2013,75.49,-0.006733143
06/11/2013,76,-0.017865768
05/11/2013,77.37,0.004923565
04/11/2013,76.99,0.001039636
01/11/2013,76.91,-0.005316747
31/10/2013,77.32,-0.002325282
30/10/2013,77.5,0.000774493
29/10/2013,77.44,0.010123383
28/10/2013,76.66,-0.001173327
25/10/2013,76.75,-0.000390803
24/10/2013,76.78,-0.001171494
23/10/2013,76.87,0.001432012
22/10/2013,76.76,-0.000520969
21/10/2013,76.8,0.005876608
18/10/2013,76.35,-0.003660613
17/10/2013,76.63,-0.006374005
16/10/2013,77.12,0.011869963
15/10/2013,76.21,-0.013813094
14/10/2013,77.27,-0.000776197
11/10/2013,77.33,0.010007231
10/10/2013,76.56,0.021253523
09/10/2013,74.95,-0.011936481
08/10/2013,75.85,-0.010622354
07/10/2013,76.66,-0.016944077
04/10/2013,77.97,0.007337357
03/10/2013,77.4,-0.008490981
02/10/2013,78.06,0.003079294
01/10/2013,77.82,0.005928616
30/09/2013,77.36,0.001681869
27/09/2013,77.23,-0.00400595
26/09/2013,77.54,0.043760277
25/09/2013,74.22,-0.00791791
24/09/2013,74.81,0.008187416
23/09/2013,74.2,-0.016971076
20/09/2013,75.47,-0.001588773
19/09/2013,75.59,-0.018091736
18/09/2013,76.97,0.015053625
17/09/2013,75.82,0.017428766
16/09/2013,74.51,0.011880793
13/09/2013,73.63,0.020998507
12/09/2013,72.1,-0.002631763
11/09/2013,72.29,0.007079921
10/09/2013,71.78,-0.009290783
09/09/2013,72.45,0.008455245
06/09/2013,71.84,-0.01162482
05/09/2013,72.68,0.004412583
04/09/2013,72.36,-0.019162919
03/09/2013,73.76,0.000271186
30/08/2013,73.74,-0.0035197
29/08/2013,74,-0.00485307
28/08/2013,74.36,0.010816763
27/08/2013,73.56,-0.014441171
26/08/2013,74.63,0.00295223
23/08/2013,74.41,0.000268817
22/08/2013,74.39,0.010676498
21/08/2013,73.6,-0.010273137
20/08/2013,74.36,0.014903406
19/08/2013,73.26,-0.002590145
16/08/2013,73.45,-0.004211677
15/08/2013,73.76,-0.011457967
14/08/2013,74.61,-0.016351311
13/08/2013,75.84,-0.001712668
12/08/2013,75.97,-0.000789474
09/08/2013,76.03,-0.00981619
08/08/2013,76.78,0.007713969
07/08/2013,76.19,-0.018079442
06/08/2013,77.58,-0.007704198
05/08/2013,78.18,0.0086069
02/08/2013,77.51,0.011809884
01/08/2013,76.6,0.00169857
31/07/2013,76.47,0.014621877
30/07/2013,75.36,0.003322925
29/07/2013,75.11,-0.002526429
26/07/2013,75.3,-0.014371663
25/07/2013,76.39,0.005908243
24/07/2013,75.94,-0.002236107
23/07/2013,76.11,-0.006547954
22/07/2013,76.61,0.005628655
19/07/2013,76.18,0.006188709
18/07/2013,75.71,0.001321703
17/07/2013,75.61,-0.000925375
16/07/2013,75.68,-0.011952595
15/07/2013,76.59,-0.001956565
12/07/2013,76.74,0.00143444
11/07/2013,76.63,0.013929266
10/07/2013,75.57,-0.000132319
09/07/2013,75.58,0.023697474
08/07/2013,73.81,0.01432787
05/07/2013,72.76,0.011333915
03/07/2013,71.94,0.006694586
02/07/2013,71.46,-0.004189365
01/07/2013,71.76,0.011351814
28/06/2013,70.95,0.011339597
27/06/2013,70.15,0.002140564
26/06/2013,70,0.017146159
25/06/2013,68.81,0.005976259
24/06/2013,68.4,-0.02297955
21/06/2013,69.99,0.006737894
20/06/2013,69.52,-0.016689639
19/06/2013,70.69,-0.0182231
18/06/2013,71.99,0.010753543
17/06/2013,71.22,0.002108371
14/06/2013,71.07,0.000562984
13/06/2013,71.03,0.026824265
12/06/2013,69.15,0.001012805
11/06/2013,69.08,-0.000144749
10/06/2013,69.09,-0.00390033
07/06/2013,69.36,0.016279429
06/06/2013,68.24,-0.001318006
05/06/2013,68.33,0.019954841
04/06/2013,66.98,-0.020393791
03/06/2013,68.36,0.001610424
31/05/2013,68.25,-0.012522004
30/05/2013,69.11,0.00362398
29/05/2013,68.86,-0.01212486
28/05/2013,69.7,0.01416004
24/05/2013,68.72,-0.011718036
23/05/2013,69.53,0.018287883
22/05/2013,68.27,-0.003947085
21/05/2013,68.54,0.017514614
20/05/2013,67.35,-0.025796535
17/05/2013,69.11,0.00609581
16/05/2013,68.69,-0.007541733
15/05/2013,69.21,0.009436087
14/05/2013,68.56,-0.006976772
13/05/2013,69.04,-0.01137767
10/05/2013,69.83,0.00531267
09/05/2013,69.46,0.002883508
08/05/2013,69.26,-0.011627203
07/05/2013,70.07,0.006012042
06/05/2013,69.65,0.015627579
03/05/2013,68.57,-0.016632099
02/05/2013,69.72,0.013138137
01/05/2013,68.81,0.000145338
30/04/2013,68.8,0.00597713
29/04/2013,68.39,0.019191614
26/04/2013,67.09,-0.008903457
25/04/2013,67.69,0.012337578
24/04/2013,66.86,0.001197246
23/04/2013,66.78,0.004803372
22/04/2013,66.46,-0.004653615
19/04/2013,66.77,0.004954593
18/04/2013,66.44,0.000602228
17/04/2013,66.4,0.006800177
16/04/2013,65.95,0.00944553
15/04/2013,65.33,-0.02165275
12/04/2013,66.76,0.042221015
11/04/2013,64,-0.023167059
10/04/2013,65.5,0.015384919
09/04/2013,64.5,-0.008183478
08/04/2013,65.03,0.019722667
05/04/2013,63.76,-0.014171381
04/04/2013,64.67,0.011039527
03/04/2013,63.96,-0.012584645
02/04/2013,64.77,0.014775912
01/04/2013,63.82,-0.009357523
28/03/2013,64.42,-0.012648634
27/03/2013,65.24,0.008930005
26/03/2013,64.66,0.007295337
25/03/2013,64.19,-0.006212165
22/03/2013,64.59,0.023021924
21/03/2013,63.12,-0.003479365
20/03/2013,63.34,0.024451877
19/03/2013,61.81,-0.001778066
18/03/2013,61.92,0.016117565
15/03/2013,60.93,0.002793987
14/03/2013,60.76,0.014255173
13/03/2013,59.9,-0.023429549
12/03/2013,61.32,0.008187372
11/03/2013,60.82,0.024129634
08/03/2013,59.37,0.009137119
07/03/2013,58.83,0.00034002
06/03/2013,58.81,0.012490538
05/03/2013,58.08,0.023165714
04/03/2013,56.75,-0.003166787
01/03/2013,56.93,0.003166787
28/02/2013,56.75,-0.003869157
27/02/2013,56.97,0.005456319
26/02/2013,56.66,-0.004051084
25/02/2013,56.89,-0.012402989
22/02/2013,57.6,0.001389854
21/02/2013,57.52,0.000347766
20/02/2013,57.5,-0.01158481
19/02/2013,58.17,0.00828591
15/02/2013,57.69,-0.018037078
14/02/2013,58.74,-0.00288993
13/02/2013,58.91,-0.001526588
12/02/2013,59,-0.005071862
11/02/2013,59.3,-0.002358094
08/02/2013,59.44,0.004045859
07/02/2013,59.2,-0.010752792
06/02/2013,59.84,0.005529968
05/02/2013,59.51,0.019685007
04/02/2013,58.35,-0.014799964
01/02/2013,59.22,0.008819596
31/01/2013,58.7,0.002729446
30/01/2013,58.54,0.007888911
29/01/2013,58.08,-0.007376309
28/01/2013,58.51,-0.021473477
25/01/2013,59.78,0.013303219
