Date,Close,CB
04/04/2014,89.25,0.000112051
03/04/2014,89.24,0.003254955
02/04/2014,88.95,0.002476363
01/04/2014,88.73,-0.006403437
31/03/2014,89.3,0.013075028
28/03/2014,88.14,0.009346928
27/03/2014,87.32,0.000801971
26/03/2014,87.25,0.002180025
25/03/2014,87.06,0.010275447
24/03/2014,86.17,-0.000696056
21/03/2014,86.23,0.009906264
20/03/2014,85.38,-0.00665385
19/03/2014,85.95,-0.011682511
18/03/2014,86.96,0.000805292
17/03/2014,86.89,0.008785168
14/03/2014,86.13,-0.001160362
13/03/2014,86.23,-0.005666393
12/03/2014,86.72,-0.004716719
11/03/2014,87.13,-0.00526558
10/03/2014,87.59,0.001942747
07/03/2014,87.42,-0.00422351
06/03/2014,87.79,0.001938317
05/03/2014,87.62,-0.002735356
04/03/2014,87.86,0.011101688
03/03/2014,86.89,-0.006767245
28/02/2014,87.48,0.003894175
27/02/2014,87.14,0.009338858
26/02/2014,86.33,-0.008190621
25/02/2014,87.04,0.005529968
24/02/2014,86.56,-0.005644851
21/02/2014,87.05,0.006453866
20/02/2014,86.49,0.005100278
19/02/2014,86.05,-0.00717928
18/02/2014,86.67,0.006366131
14/02/2014,86.12,0.009332779
13/02/2014,85.32,0.005406054
12/02/2014,84.86,-0.009266385
11/02/2014,85.65,0.007735622
10/02/2014,84.99,0.007321714
07/02/2014,84.37,0.00510963
06/02/2014,83.94,0.008374256
05/02/2014,83.24,-0.000720548
04/02/2014,83.3,0.003607941
03/02/2014,83,-0.018384187
31/01/2014,84.54,-0.025920891
30/01/2014,86.76,0.005084365
29/01/2014,86.32,-0.00727192
28/01/2014,86.95,0.011567509
27/01/2014,85.95,0.000232721
24/01/2014,85.93,-0.022780553
23/01/2014,87.91,-0.013782414
22/01/2014,89.13,-0.001569507
21/01/2014,89.27,-0.005585359
17/01/2014,89.77,-0.006440173
16/01/2014,90.35,-0.005848938
15/01/2014,90.88,-0.000330051
14/01/2014,90.91,0.00883886
13/01/2014,90.11,-0.018581151
10/01/2014,91.8,0
09/01/2014,91.8,-0.00705566
08/01/2014,92.45,-0.008079764
07/01/2014,93.2,-0.005990604
06/01/2014,93.76,-0.000852879
03/01/2014,93.84,-0.012285687
02/01/2014,95,-0.01701236
31/12/2013,96.63,0.00508379
30/12/2013,96.14,0.004064834
27/12/2013,95.75,-0.000730803
26/12/2013,95.82,0.006281428
24/12/2013,95.22,0.006743967
23/12/2013,94.58,0.001481325
20/12/2013,94.44,0.008613867
19/12/2013,93.63,0.008580982
18/12/2013,92.83,0.00312888
17/12/2013,92.54,-0.006248001
16/12/2013,93.12,0.001504568
13/12/2013,92.98,0.001399128
12/12/2013,92.85,-0.006334231
11/12/2013,93.44,-0.007251045
10/12/2013,94.12,-0.00688234
09/12/2013,94.77,-0.000843793
06/12/2013,94.85,0.018729929
05/12/2013,93.09,-0.010791279
04/12/2013,94.1,-0.013720532
03/12/2013,95.4,-0.000523972
02/12/2013,95.45,-0.010422189
29/11/2013,96.45,-0.009185265
27/11/2013,97.34,0.002365648
26/11/2013,97.11,0.000721092
25/11/2013,97.04,0.002063133
22/11/2013,96.84,0.007462721
21/11/2013,96.12,0.016362857
20/11/2013,94.56,-0.001479447
19/11/2013,94.7,-0.000211171
18/11/2013,94.72,-0.001055186
15/11/2013,94.82,0.000421941
14/11/2013,94.78,0.008582834
13/11/2013,93.97,0.0113443
12/11/2013,92.91,-0.017391743
11/11/2013,94.54,0.002329769
08/11/2013,94.32,0.008304104
07/11/2013,93.54,-0.003841234
06/11/2013,93.9,0.011460523
05/11/2013,92.83,0.002588719
04/11/2013,92.59,0.005414785
01/11/2013,92.09,0.000108595
31/10/2013,92.08,-0.007142115
30/10/2013,92.74,-0.005376935
29/10/2013,93.24,0.006887673
28/10/2013,92.6,0.004329011
25/10/2013,92.2,-0.007993993
24/10/2013,92.94,-0.002686296
23/10/2013,93.19,-0.007909404
22/10/2013,93.93,0.008231379
21/10/2013,93.16,0.004842103
18/10/2013,92.71,0.005407757
17/10/2013,92.21,0.008823106
16/10/2013,91.4,0.018106037
15/10/2013,89.76,-0.006883562
14/10/2013,90.38,0.002437134
11/10/2013,90.16,0.008688926
10/10/2013,89.38,0.020344282
09/10/2013,87.58,-0.004556855
08/10/2013,87.98,-0.005893036
07/10/2013,88.5,-0.004172076
04/10/2013,88.87,0.00643452
03/10/2013,88.3,-0.011149392
02/10/2013,89.29,0.00033604
01/10/2013,89.26,0
30/09/2013,89.26,-0.004359741
27/09/2013,89.65,-0.004118668
26/09/2013,90.02,-0.000888297
25/09/2013,90.1,0.006123036
24/09/2013,89.55,-0.002453715
23/09/2013,89.77,-0.00233658
20/09/2013,89.98,0.001891096
19/09/2013,89.81,0.005806828
18/09/2013,89.29,0.005953401
17/09/2013,88.76,0.004403553
16/09/2013,88.37,0.008637399
13/09/2013,87.61,0.005379126
12/09/2013,87.14,-0.006405879
11/09/2013,87.7,0.013546298
10/09/2013,86.52,0.008473151
09/09/2013,85.79,0.017520585
06/09/2013,84.3,-0.001896184
05/09/2013,84.46,0.004152584
04/09/2013,84.11,0.003334527
03/09/2013,83.83,0.007904233
30/08/2013,83.17,-0.00204192
29/08/2013,83.34,-0.001079331
28/08/2013,83.43,-0.000479329
27/08/2013,83.47,-0.009419971
26/08/2013,84.26,-0.010507151
23/08/2013,85.15,0.002587019
22/08/2013,84.93,0.010058661
21/08/2013,84.08,-0.006283736
20/08/2013,84.61,0.005332714
19/08/2013,84.16,-0.009696186
16/08/2013,84.98,-0.000352962
15/08/2013,85.01,-0.010414932
14/08/2013,85.9,-0.000349182
13/08/2013,85.93,0.004782745
12/08/2013,85.52,0.000350857
09/08/2013,85.49,0.00035098
08/08/2013,85.46,0.004103893
07/08/2013,85.11,-0.005623916
06/08/2013,85.59,-0.005940958
05/08/2013,86.1,-0.011202981
02/08/2013,87.07,-0.003439581
01/08/2013,87.37,0.01000756
31/07/2013,86.5,-0.005188827
30/07/2013,86.95,-0.001264295
29/07/2013,87.06,-0.001950772
26/07/2013,87.23,0.009329178
25/07/2013,86.42,0.002548953
24/07/2013,86.2,-0.007857679
23/07/2013,86.88,-0.028704677
22/07/2013,89.41,0.00864931
19/07/2013,88.64,0.000451365
18/07/2013,88.6,0.006113457
17/07/2013,88.06,0.009928755
16/07/2013,87.19,0.002181527
15/07/2013,87,-0.008697697
12/07/2013,87.76,0.01295964
11/07/2013,86.63,0.013012848
10/07/2013,85.51,-0.01727479
09/07/2013,87,0.003915702
08/07/2013,86.66,0.008343038
05/07/2013,85.94,0.009469878
03/07/2013,85.13,0.001528243
02/07/2013,85,-0.002584892
01/07/2013,85.22,0.006711039
28/06/2013,84.65,0.000354463
27/06/2013,84.62,0.012964797
26/06/2013,83.53,0.013620412
25/06/2013,82.4,0.00743045
24/06/2013,81.79,-0.016491219
21/06/2013,83.15,-0.00432018
20/06/2013,83.51,-0.024835714
19/06/2013,85.61,-0.027193749
18/06/2013,87.97,0.006386155
17/06/2013,87.41,0.012780095
14/06/2013,86.3,-0.00934209
13/06/2013,87.11,0.01468659
12/06/2013,85.84,-0.008352717
11/06/2013,86.56,-0.010343731
10/06/2013,87.46,0.005733303
07/06/2013,86.96,0.005882031
06/06/2013,86.45,0.01304012
05/06/2013,85.33,-0.00967994
04/06/2013,86.16,-0.006824386
03/06/2013,86.75,-0.004026465
31/05/2013,87.1,-0.00709304
30/05/2013,87.72,0.0038835
29/05/2013,87.38,-0.005819609
28/05/2013,87.89,-0.001478029
24/05/2013,88.02,0.002274796
23/05/2013,87.82,-0.002161179
22/05/2013,88.01,-0.007019956
21/05/2013,88.63,-0.003604013
20/05/2013,88.95,-0.010401033
17/05/2013,89.88,0.000111266
16/05/2013,89.87,-0.008090031
15/05/2013,90.6,0.003316753
14/05/2013,90.3,0.00878711
13/05/2013,89.51,0.004142183
10/05/2013,89.14,0.003371168
09/05/2013,88.84,-0.011749702
08/05/2013,89.89,0.008490722
07/05/2013,89.13,0.00585126
06/05/2013,88.61,0.005545196
03/05/2013,88.12,0.010724575
02/05/2013,87.18,-0.001375516
01/05/2013,87.3,-0.00878149
30/04/2013,88.07,0.001136106
29/04/2013,87.97,0.001820458
26/04/2013,87.81,-0.01402262
25/04/2013,89.05,-0.001010158
24/04/2013,89.14,0.000224391
23/04/2013,89.12,0.016632165
22/04/2013,87.65,-0.002734421
19/04/2013,87.89,0.011212932
18/04/2013,86.91,-0.008022046
17/04/2013,87.61,-0.011575254
16/04/2013,88.63,0.011917739
15/04/2013,87.58,-0.017655506
12/04/2013,89.14,-0.001905296
11/04/2013,89.31,0.004376375
10/04/2013,88.92,0.004395611
09/04/2013,88.53,0.000451926
08/04/2013,88.49,0.009766146
05/04/2013,87.63,-0.005576117
