Date,Close,PXD
04/04/2014,188.95,-0.020067213
03/04/2014,192.78,-0.001813895
02/04/2014,193.13,0.03917722
01/04/2014,185.71,-0.007670683
31/03/2014,187.14,-0.009096049
28/03/2014,188.85,0.01822167
27/03/2014,185.44,0.030274654
26/03/2014,179.91,-0.005708759
25/03/2014,180.94,-0.005016687
24/03/2014,181.85,-0.023048256
21/03/2014,186.09,0.008364186
20/03/2014,184.54,-0.005026902
19/03/2014,185.47,-0.014080592
18/03/2014,188.1,0.013541567
17/03/2014,185.57,-0.003765065
14/03/2014,186.27,0.018312355
13/03/2014,182.89,-0.020511042
12/03/2014,186.68,-0.010126399
11/03/2014,188.58,-0.033066898
10/03/2014,194.92,-0.005525441
07/03/2014,196,-0.011767228
06/03/2014,198.32,-0.002769457
05/03/2014,198.87,-0.027965529
04/03/2014,204.51,0.009926371
03/03/2014,202.49,0.006490473
28/02/2014,201.18,0.031200471
27/02/2014,195,0.016389995
26/02/2014,191.83,-0.00815102
25/02/2014,193.4,-0.006904753
24/02/2014,194.74,0.040129003
21/02/2014,187.08,-0.013380257
20/02/2014,189.6,0.008261884
19/02/2014,188.04,-0.009737588
18/02/2014,189.88,0.02441616
14/02/2014,185.3,0.031800925
13/02/2014,179.5,-0.003725642
12/02/2014,180.17,-0.002715962
11/02/2014,180.66,-0.034117404
10/02/2014,186.93,0.010054118
07/02/2014,185.06,0.026723746
06/02/2014,180.18,0.029456132
05/02/2014,174.95,0.017529135
04/02/2014,171.91,0.039753692
03/02/2014,165.21,-0.024573024
31/01/2014,169.32,-0.017968936
30/01/2014,172.39,0.027642315
29/01/2014,167.69,-0.039750397
28/01/2014,174.49,0.018626175
27/01/2014,171.27,-0.008488423
24/01/2014,172.73,-0.039781681
23/01/2014,179.74,-0.023370046
22/01/2014,183.99,0.023425684
21/01/2014,179.73,0.028385508
17/01/2014,174.7,-0.004682779
16/01/2014,175.52,0.014692643
15/01/2014,172.96,0.004577993
14/01/2014,172.17,0.04387111
13/01/2014,164.78,-0.029715516
10/01/2014,169.75,-0.010373111
09/01/2014,171.52,-0.02219815
08/01/2014,175.37,0.001141097
07/01/2014,175.17,0.006356864
06/01/2014,174.06,-0.011367978
03/01/2014,176.05,-0.002722788
02/01/2014,176.53,-0.041825286
31/12/2013,184.07,0.012959145
30/12/2013,181.7,-0.031848446
27/12/2013,187.58,0.006739796
26/12/2013,186.32,0.013399811
24/12/2013,183.84,-0.007316511
23/12/2013,185.19,-0.011275893
20/12/2013,187.29,-0.001387259
19/12/2013,187.55,0.019381495
18/12/2013,183.95,0.008297444
17/12/2013,182.43,0.016079915
16/12/2013,179.52,-0.001280374
13/12/2013,179.75,0.003734363
12/12/2013,179.08,0.014908436
11/12/2013,176.43,-0.012560361
10/12/2013,178.66,0.006852035
09/12/2013,177.44,0.001297054
06/12/2013,177.21,-0.039988737
05/12/2013,184.44,-0.004490013
04/12/2013,185.27,0.021109683
03/12/2013,181.4,0.018303201
02/12/2013,178.11,0.002023268
29/11/2013,177.75,-0.006504817
27/11/2013,178.91,-0.025549741
26/11/2013,183.54,0.013714626
25/11/2013,181.04,-0.03067792
22/11/2013,186.68,-0.000214247
21/11/2013,186.72,0.019413885
20/11/2013,183.13,-0.001473277
19/11/2013,183.4,-0.014292145
18/11/2013,186.04,-0.044727495
15/11/2013,194.55,-0.004154811
14/11/2013,195.36,-0.000409417
13/11/2013,195.44,0.067134328
12/11/2013,182.75,-0.030342101
11/11/2013,188.38,-0.007667735
08/11/2013,189.83,0.019522416
07/11/2013,186.16,-0.064434439
06/11/2013,198.55,-0.057779391
05/11/2013,210.36,-0.014394849
04/11/2013,213.41,0.038791584
01/11/2013,205.29,0.002487381
31/10/2013,204.78,-0.019919436
30/10/2013,208.9,-0.0225771
29/10/2013,213.67,0.032342192
28/10/2013,206.87,-0.018676915
25/10/2013,210.77,0.004231553
24/10/2013,209.88,0.023428403
23/10/2013,205.02,-0.016879466
22/10/2013,208.51,-0.054367553
21/10/2013,220.16,-0.021523601
18/10/2013,224.95,0.041618785
17/10/2013,215.78,0.018333691
16/10/2013,211.86,0.059009294
15/10/2013,199.72,0.023865546
14/10/2013,195.01,5.12807E-05
11/10/2013,195,0.01181309
10/10/2013,192.71,0.014109766
09/10/2013,190.01,-0.010679052
08/10/2013,192.05,-0.02046094
07/10/2013,196.02,-0.026827992
04/10/2013,201.35,0.021688686
03/10/2013,197.03,0.007949086
02/10/2013,195.47,0.005180429
01/10/2013,194.46,0.029538233
30/09/2013,188.8,0.000105938
27/09/2013,188.78,0.002917697
26/09/2013,188.23,0.011219265
25/09/2013,186.13,0.008524925
24/09/2013,184.55,0.00952777
23/09/2013,182.8,0.000328281
20/09/2013,182.74,-0.016660269
19/09/2013,185.81,-0.009427463
18/09/2013,187.57,0.015960787
17/09/2013,184.6,-0.002164503
16/09/2013,185,0.000919341
13/09/2013,184.83,-0.010655574
12/09/2013,186.81,0.002411771
11/09/2013,186.36,0.029238506
10/09/2013,180.99,-0.006718087
09/09/2013,182.21,0.007436617
06/09/2013,180.86,-0.006283436
05/09/2013,182,0
04/09/2013,182,0.012161565
