Date,Close,IGT
04/04/2014,13.66,-0.013091096
03/04/2014,13.84,-0.003606207
02/04/2014,13.89,-0.01216473
01/04/2014,14.06,0
31/03/2014,14.06,0.024479264
28/03/2014,13.72,0.010993148
27/03/2014,13.57,-0.003677827
26/03/2014,13.62,-0.086460565
25/03/2014,14.85,0.003372684
24/03/2014,14.8,-0.006734032
21/03/2014,14.9,0.006058585
20/03/2014,14.81,-0.02203762
19/03/2014,15.14,-0.006583302
18/03/2014,15.24,0.011217538
17/03/2014,15.07,0.006657814
14/03/2014,14.97,-0.014589118
13/03/2014,15.19,-0.018265348
12/03/2014,15.47,-0.001937359
11/03/2014,15.5,-0.008991711
10/03/2014,15.64,-0.005102052
07/03/2014,15.72,-0.008235713
06/03/2014,15.85,0.042532184
05/03/2014,15.19,0.01125467
04/03/2014,15.02,0.020855112
03/03/2014,14.71,-0.025504738
28/02/2014,15.09,0.00199005
27/02/2014,15.06,0.015390066
26/02/2014,14.83,0.005409073
25/02/2014,14.75,-0.01011813
24/02/2014,14.9,0.013513719
21/02/2014,14.7,-0.002038737
20/02/2014,14.73,0.013670753
19/02/2014,14.53,-0.006858737
18/02/2014,14.63,-0.022973983
14/02/2014,14.97,0.01074557
13/02/2014,14.81,0.020464561
12/02/2014,14.51,0.009695367
11/02/2014,14.37,-0.008316056
10/02/2014,14.49,-0.01710613
07/02/2014,14.74,0.012286844
06/02/2014,14.56,0.016620881
05/02/2014,14.32,0.00349773
04/02/2014,14.27,0.010567199
03/02/2014,14.12,-0.021717141
31/01/2014,14.43,-0.011712156
30/01/2014,14.6,-0.000684697
29/01/2014,14.61,-0.013596403
28/01/2014,14.81,0.007455134
27/01/2014,14.7,-0.022865825
24/01/2014,15.04,-0.160022465
23/01/2014,17.65,-0.025176155
22/01/2014,18.1,-0.002207506
21/01/2014,18.14,0.020607803
17/01/2014,17.77,0.021616314
16/01/2014,17.39,-0.004017222
15/01/2014,17.46,-0.00114482
14/01/2014,17.48,0.030789536
13/01/2014,16.95,-0.031933047
10/01/2014,17.5,-0.002853069
