Date,Close,LO
04/04/2014,53.41,0.020237097
03/04/2014,52.34,-0.03066744
02/04/2014,53.97,0.000185305
01/04/2014,53.96,-0.0022214
31/03/2014,54.08,0.013590454
28/03/2014,53.35,0.004697049
27/03/2014,53.1,-0.005446534
26/03/2014,53.39,0.019289554
25/03/2014,52.37,0.003634629
24/03/2014,52.18,0.000575098
21/03/2014,52.15,-0.001149866
20/03/2014,52.21,0.014857967
19/03/2014,51.44,-0.022680196
18/03/2014,52.62,0.006673683
17/03/2014,52.27,0.007874813
14/03/2014,51.86,0.016526088
13/03/2014,51.01,-0.002349717
12/03/2014,51.13,-0.020136208
11/03/2014,52.17,-0.016538729
10/03/2014,53.04,0.000943129
07/03/2014,52.99,0.011387483
06/03/2014,52.39,-0.020592019
05/03/2014,53.48,-0.032741567
04/03/2014,55.26,0.030313702
03/03/2014,53.61,0.088691579
28/02/2014,49.06,0.010037982
27/02/2014,48.57,0.017236435
26/02/2014,47.74,-0.02441669
25/02/2014,48.92,0.014412438
24/02/2014,48.22,0.003531737
21/02/2014,48.05,-0.003531737
20/02/2014,48.22,0.01567594
19/02/2014,47.47,0.003376243
18/02/2014,47.31,-0.014479321
14/02/2014,48,0.005850414
13/02/2014,47.72,0.005252665
12/02/2014,47.47,-0.050924573
11/02/2014,49.95,0.010060447
10/02/2014,49.45,-0.00141457
07/02/2014,49.52,0.022670224
06/02/2014,48.41,0.013517935
05/02/2014,47.76,-0.023588927
04/02/2014,48.9,0.015663964
03/02/2014,48.14,-0.022186613
31/01/2014,49.22,0
30/01/2014,49.22,0.004071667
29/01/2014,49.02,-0.015384919
28/01/2014,49.78,0.013550617
27/01/2014,49.11,-0.008515867
24/01/2014,49.53,-0.01343648
23/01/2014,50.2,-0.008529259
22/01/2014,50.63,0.012521281
21/01/2014,50,0.01572296
17/01/2014,49.22,-0.005874624
16/01/2014,49.51,0.002629185
15/01/2014,49.38,0.000810373
14/01/2014,49.34,0.001419735
13/01/2014,49.27,0.000202984
10/01/2014,49.26,0.002032108
09/01/2014,49.16,0.001017605
08/01/2014,49.11,-0.019359346
07/01/2014,50.07,0.008625066
06/01/2014,49.64,-0.003218024
03/01/2014,49.8,-0.003808001
02/01/2014,49.99,-0.01370837
31/12/2013,50.68,0.000197336
30/12/2013,50.67,0.0027668
27/12/2013,50.53,0.002179298
26/12/2013,50.42,0.002382845
24/12/2013,50.3,0.00199005
23/12/2013,50.2,0.005994024
20/12/2013,49.9,0.002407706
19/12/2013,49.78,-0.003409208
18/12/2013,49.95,0.009251876
17/12/2013,49.49,-0.005239835
16/12/2013,49.75,-0.007808629
13/12/2013,50.14,-0.004179526
12/12/2013,50.35,-0.004359896
11/12/2013,50.57,-0.000593061
10/12/2013,50.6,-0.005911347
09/12/2013,50.9,0.001966569
06/12/2013,50.8,0.005131253
05/12/2013,50.54,-0.008668297
04/12/2013,50.98,-0.004306133
03/12/2013,51.2,0.01001088
02/12/2013,50.69,-0.012546724
29/11/2013,51.33,-0.004082829
27/11/2013,51.54,-0.004452626
26/11/2013,51.77,-0.007505087
25/11/2013,52.16,-0.007639457
22/11/2013,52.56,0.005915483
21/11/2013,52.25,-0.010850016
20/11/2013,52.82,-0.001324378
19/11/2013,52.89,-0.002077628
18/11/2013,53,0.006625675
15/11/2013,52.65,0.004950505
14/11/2013,52.39,0.005934736
13/11/2013,52.08,0.005390849
12/11/2013,51.8,0.005614186
11/11/2013,51.51,0.000971157
08/11/2013,51.46,0.007803395
07/11/2013,51.06,-0.014581769
06/11/2013,51.81,-0.000771754
05/11/2013,51.85,0.008716762
04/11/2013,51.4,0.000194571
01/11/2013,51.39,0.007421909
31/10/2013,51.01,-0.000196021
30/10/2013,51.02,0.006291802
29/10/2013,50.7,0.003160809
28/10/2013,50.54,0.018975901
25/10/2013,49.59,0
24/10/2013,49.59,0.007286007
23/10/2013,49.23,0.009797996
22/10/2013,48.75,0.0146712
21/10/2013,48.04,0.006473866
18/10/2013,47.73,0.004409456
17/10/2013,47.52,0.011428696
16/10/2013,46.98,0.010269667
