Date,Close,ABC
04/04/2014,65.05,-0.011463633
03/04/2014,65.8,0.003349067
02/04/2014,65.58,-0.005019404
01/04/2014,65.91,0.00486693
31/03/2014,65.59,0.011809048
28/03/2014,64.82,0.01101384
27/03/2014,64.11,-0.011476553
26/03/2014,64.85,0.004481887
25/03/2014,64.56,0.003724399
24/03/2014,64.32,-0.007743573
21/03/2014,64.82,-0.025286953
20/03/2014,66.48,-0.005849286
19/03/2014,66.87,-0.01454895
18/03/2014,67.85,-0.003384098
17/03/2014,68.08,0.007519387
14/03/2014,67.57,-0.003250594
13/03/2014,67.79,0.001623976
12/03/2014,67.68,-0.009704531
11/03/2014,68.34,-0.011059484
10/03/2014,69.1,0.00231817
07/03/2014,68.94,0.002759825
06/03/2014,68.75,-0.002034293
05/03/2014,68.89,0.001888849
04/03/2014,68.76,0.018494583
03/03/2014,67.5,-0.005171788
28/02/2014,67.85,-0.002355367
27/02/2014,68.01,-0.00366919
26/02/2014,68.26,-0.006716334
25/02/2014,68.72,0.002039331
24/02/2014,68.58,0.002628122
21/02/2014,68.4,0.00014621
20/02/2014,68.39,0.00410257
19/02/2014,68.11,-0.0057097
18/02/2014,68.5,0.00732604
14/02/2014,68,0.001618957
13/02/2014,67.89,0.002211901
12/02/2014,67.74,0.002660755
11/02/2014,67.56,0.017770945
10/02/2014,66.37,-0.002558123
07/02/2014,66.54,0.015600468
06/02/2014,65.51,0.01213253
05/02/2014,64.72,-0.004470831
04/02/2014,65.01,-0.002458136
03/02/2014,65.17,-0.030971582
31/01/2014,67.22,-0.008148797
30/01/2014,67.77,0.007553913
29/01/2014,67.26,-0.006815851
28/01/2014,67.72,0.013528787
27/01/2014,66.81,-0.006564249
24/01/2014,67.25,-0.034922096
23/01/2014,69.64,-0.009148148
22/01/2014,70.28,-0.003409094
21/01/2014,70.52,-0.000141794
17/01/2014,70.53,0.000425441
16/01/2014,70.5,-0.000708968
15/01/2014,70.55,0.000141753
14/01/2014,70.54,-0.000991853
13/01/2014,70.61,-0.010285402
10/01/2014,71.34,-0.000560538
09/01/2014,71.38,0.003367952
08/01/2014,71.14,0.009746528
07/01/2014,70.45,0.010846403
06/01/2014,69.69,-0.003580896
03/01/2014,69.94,0.000715154
02/01/2014,69.89,-0.005991459
31/12/2013,70.31,-0.000995096
30/12/2013,70.38,0.002418381
27/12/2013,70.21,-0.001281048
26/12/2013,70.3,0.002278554
24/12/2013,70.14,0.001569523
23/12/2013,70.03,0.00300322
20/12/2013,69.82,0.002724993
19/12/2013,69.63,0.000287274
18/12/2013,69.61,0.018266672
17/12/2013,68.35,-0.001461989
16/12/2013,68.45,0
13/12/2013,68.45,-0.004664052
12/12/2013,68.77,-0.000436142
11/12/2013,68.8,-0.014000373
10/12/2013,69.77,-0.012250865
09/12/2013,70.63,0.004825442
06/12/2013,70.29,0.016496107
05/12/2013,69.14,-0.004617613
04/12/2013,69.46,-0.015854078
03/12/2013,70.57,-0.004524255
02/12/2013,70.89,0.005091229
29/11/2013,70.53,0.000425441
27/11/2013,70.5,-0.001559068
26/11/2013,70.61,0.002694464
25/11/2013,70.42,0.005696398
22/11/2013,70.02,0.003290182
21/11/2013,69.79,0.006468793
20/11/2013,69.34,0.006801271
19/11/2013,68.87,-0.004057389
18/11/2013,69.15,-0.005048694
15/11/2013,69.5,0.004036914
14/11/2013,69.22,0.010602089
13/11/2013,68.49,0.002924406
12/11/2013,68.29,0.002639298
11/11/2013,68.11,0.00161634
08/11/2013,68,0.018853078
07/11/2013,66.73,-0.006423205
06/11/2013,67.16,0.004327396
05/11/2013,66.87,-0.003284566
04/11/2013,67.09,0.010639195
01/11/2013,66.38,0.015944457
31/10/2013,65.33,0.001685178
30/10/2013,65.22,-0.008853668
29/10/2013,65.8,0.009160369
28/10/2013,65.2,-0.000613309
25/10/2013,65.24,0.009239364
24/10/2013,64.64,0.012610115
23/10/2013,63.83,0.001097265
22/10/2013,63.76,-0.001723733
21/10/2013,63.87,-0.01151943
18/10/2013,64.61,-0.000154763
17/10/2013,64.62,0.013554776
16/10/2013,63.75,0.014854888
15/10/2013,62.81,-0.004764939
14/10/2013,63.11,0.007315554
11/10/2013,62.65,0.003517752
10/10/2013,62.43,0.018755602
09/10/2013,61.27,0.001306549
08/10/2013,61.19,-0.012666619
07/10/2013,61.97,-0.008036045
04/10/2013,62.47,0.016950926
03/10/2013,61.42,-0.012619485
02/10/2013,62.2,-0.004491506
01/10/2013,62.48,0.022334639
30/09/2013,61.1,-0.002941659
27/09/2013,61.28,0.001960144
26/09/2013,61.16,0.002455596
25/09/2013,61.01,0.00164042
24/09/2013,60.91,-0.010777374
23/09/2013,61.57,-0.001298491
20/09/2013,61.65,-0.009363969
19/09/2013,62.23,0.011962639
18/09/2013,61.49,-0.00162496
17/09/2013,61.59,0.010445664
16/09/2013,60.95,0.011053482
13/09/2013,60.28,-0.002981616
12/09/2013,60.46,-0.000496073
11/09/2013,60.49,0.018689014
10/09/2013,59.37,0.012030985
09/09/2013,58.66,0.00718566
06/09/2013,58.24,0.001546525
05/09/2013,58.15,0.000343997
04/09/2013,58.13,0.01281181
03/09/2013,57.39,0.008223299
30/08/2013,56.92,-0.004032617
29/08/2013,57.15,0.003330123
28/08/2013,56.96,0.001581306
27/08/2013,56.87,-0.009972963
26/08/2013,57.44,-0.00017408
23/08/2013,57.45,0.000348189
22/08/2013,57.43,0.00628823
21/08/2013,57.07,-0.00663642
20/08/2013,57.45,0.010498784
19/08/2013,56.85,0.00564475
16/08/2013,56.53,-0.013005456
15/08/2013,57.27,-0.013183192
14/08/2013,58.03,-0.001893777
13/08/2013,58.14,-0.009074628
12/08/2013,58.67,-0.013879708
09/08/2013,59.49,-0.002015114
08/08/2013,59.61,0.014702419
07/08/2013,58.74,0.001362862
06/08/2013,58.66,-0.006287726
05/08/2013,59.03,0.009360974
02/08/2013,58.48,-0.005457039
01/08/2013,58.8,0.009054474
31/07/2013,58.27,0.000686695
30/07/2013,58.23,-0.002743956
29/07/2013,58.39,-0.00136916
26/07/2013,58.47,0.014817638
25/07/2013,57.61,0.014688147
24/07/2013,56.77,-0.015035248
23/07/2013,57.63,-0.023324673
22/07/2013,58.99,0.00305603
19/07/2013,58.81,0.008538303
18/07/2013,58.31,-0.002740197
17/07/2013,58.47,0.003254821
16/07/2013,58.28,0.000686577
15/07/2013,58.24,-0.002572238
12/07/2013,58.39,0.004978978
11/07/2013,58.1,0.027040461
10/07/2013,56.55,0.011381948
09/07/2013,55.91,-0.006595977
08/07/2013,56.28,0.012875714
05/07/2013,55.56,0.008495306
03/07/2013,55.09,0.004730722
02/07/2013,54.83,-0.003277497
01/07/2013,55.01,-0.014796372
28/06/2013,55.83,0.009357635
27/06/2013,55.31,0.00489353
26/06/2013,55.04,0.027444397
25/06/2013,53.55,-0.001119821
24/06/2013,53.61,-0.013524986
21/06/2013,54.34,0.00368732
20/06/2013,54.14,-0.025890234
19/06/2013,55.56,-0.005385043
18/06/2013,55.86,0.003586804
17/06/2013,55.66,0.013202109
14/06/2013,54.93,0.006758634
13/06/2013,54.56,-0.003476355
12/06/2013,54.75,-0.00109529
11/06/2013,54.81,0.020273455
10/06/2013,53.71,0.014440007
07/06/2013,52.94,0.007394099
06/06/2013,52.55,-0.006638242
05/06/2013,52.9,-0.006782242
04/06/2013,53.26,0.010949704
03/06/2013,52.68,-0.026228555
31/05/2013,54.08,-0.011764842
30/05/2013,54.72,0.015098795
29/05/2013,53.9,-0.008682053
28/05/2013,54.37,-0.001286647
24/05/2013,54.44,-0.002568337
23/05/2013,54.58,0.002201028
22/05/2013,54.46,-0.003482727
21/05/2013,54.65,-0.003105876
20/05/2013,54.82,-0.00309626
17/05/2013,54.99,0.010787197
16/05/2013,54.4,-0.011150833
15/05/2013,55.01,0.000909339
14/05/2013,54.96,0.008771986
13/05/2013,54.48,-0.006586193
10/05/2013,54.84,0.000547196
09/05/2013,54.81,-0.005277057
08/05/2013,55.1,0.002180233
07/05/2013,54.98,0.010605329
06/05/2013,54.4,-0.003120127
03/05/2013,54.57,-0.005117906
02/05/2013,54.85,0.018585501
01/05/2013,53.84,-0.005187118
30/04/2013,54.12,0.001109262
29/04/2013,54.06,0.01490896
26/04/2013,53.26,-0.002812414
25/04/2013,53.41,-0.044134234
24/04/2013,55.82,-0.008562307
23/04/2013,56.3,0.001777778
22/04/2013,56.2,0.004994659
19/04/2013,55.92,0.008620743
18/04/2013,55.44,0.006877855
17/04/2013,55.06,0.001999819
16/04/2013,54.95,0.016699168
