Date,Close,IR
04/04/2014,56.49,-0.025171754
03/04/2014,57.93,0.000863483
02/04/2014,57.88,0.012517549
01/04/2014,57.16,-0.001398602
31/03/2014,57.24,0.012304602
28/03/2014,56.54,0.014968205
27/03/2014,55.7,-0.014614411
26/03/2014,56.52,-0.025676024
25/03/2014,57.99,0.001725924
24/03/2014,57.89,-0.016617085
21/03/2014,58.86,0.00323322
20/03/2014,58.67,0.009246641
19/03/2014,58.13,-0.006686694
18/03/2014,58.52,0.003423488
17/03/2014,58.32,0.024649747
14/03/2014,56.9,-0.011532541
13/03/2014,57.56,-0.023861745
12/03/2014,58.95,-0.01481758
11/03/2014,59.83,-0.018710704
10/03/2014,60.96,-0.015948263
07/03/2014,61.94,0.010060121
06/03/2014,61.32,0.005724114
05/03/2014,60.97,-0.004255326
04/03/2014,61.23,0.01812838
03/03/2014,60.13,-0.016657431
28/02/2014,61.14,0.010027207
27/02/2014,60.53,0.003807006
26/02/2014,60.3,0.010837955
25/02/2014,59.65,-0.005350289
24/02/2014,59.97,0.009381875
21/02/2014,59.41,-0.00520441
20/02/2014,59.72,0.016716303
19/02/2014,58.73,-0.0110068
18/02/2014,59.38,0.016128013
14/02/2014,58.43,0.005319618
13/02/2014,58.12,-0.001375516
12/02/2014,58.2,0.016283055
11/02/2014,57.26,-0.031290158
10/02/2014,59.08,-0.011444083
07/02/2014,59.76,0.028859582
06/02/2014,58.06,0.00639311
05/02/2014,57.69,0.007132326
04/02/2014,57.28,0.007535302
03/02/2014,56.85,-0.033555552
31/01/2014,58.79,-0.004074017
30/01/2014,59.03,0.010045202
29/01/2014,58.44,-0.010891871
28/01/2014,59.08,0.005431106
27/01/2014,58.76,0.011123585
24/01/2014,58.11,-0.043111576
23/01/2014,60.67,-0.018615822
22/01/2014,61.81,-0.004197617
21/01/2014,62.07,-0.004019621
17/01/2014,62.32,-0.008945747
16/01/2014,62.88,0.000636335
15/01/2014,62.84,0.009433278
14/01/2014,62.25,0.008388499
13/01/2014,61.73,-0.014793645
10/01/2014,62.65,0.00962317
09/01/2014,62.05,0.003228413
08/01/2014,61.85,0.002590256
07/01/2014,61.69,0.009119099
06/01/2014,61.13,-0.00310331
03/01/2014,61.32,0.001305483
02/01/2014,61.24,-0.0058613
31/12/2013,61.6,-0.002755939
30/12/2013,61.77,0.009760936
27/12/2013,61.17,0.000163492
26/12/2013,61.16,0.004917237
24/12/2013,60.86,-0.001641767
23/12/2013,60.96,0.013875346
20/12/2013,60.12,0.016265974
19/12/2013,59.15,0.003217343
18/12/2013,58.96,0.026118323
17/12/2013,57.44,-0.006074826
16/12/2013,57.79,0.016927374
13/12/2013,56.82,-0.001758397
12/12/2013,56.92,0.016116527
11/12/2013,56.01,-0.011714724
10/12/2013,56.67,-0.002467396
09/12/2013,56.81,0.002114538
06/12/2013,56.69,0.016541062
05/12/2013,55.76,-0.002507614
04/12/2013,55.9,-0.002322881
03/12/2013,56.03,0.008423744
02/12/2013,55.56,-0.251114424
29/11/2013,71.42,0.004490605
27/11/2013,71.1,0.010888886
26/11/2013,70.33,0.004846076
25/11/2013,69.99,0.016567403
22/11/2013,68.84,0.01271854
21/11/2013,67.97,0.003537218
20/11/2013,67.73,0.001625416
19/11/2013,67.62,0.000591716
18/11/2013,67.58,-0.013959524
15/11/2013,68.53,0.0077639
14/11/2013,68,0.00678769
13/11/2013,67.54,-0.003399604
12/11/2013,67.77,0.004436565
11/11/2013,67.47,-0.003403125
08/11/2013,67.7,0.016531764
07/11/2013,66.59,-0.016827141
06/11/2013,67.72,0.002957707
05/11/2013,67.52,-0.00266233
04/11/2013,67.7,-0.000590667
01/11/2013,67.74,0.003104904
31/10/2013,67.53,0.006536942
30/10/2013,67.09,-0.013913783
29/10/2013,68.03,0.01063997
28/10/2013,67.31,-0.007990572
25/10/2013,67.85,0.002952032
24/10/2013,67.65,0.002516097
23/10/2013,67.48,-0.011932085
22/10/2013,68.29,0.007496177
