Date,Close,MMC
04/04/2014,49.12,-0.013949483
03/04/2014,49.81,0.000401606
02/04/2014,49.79,0.005841491
01/04/2014,49.5,0.004048589
31/03/2014,49.3,0.014506333
28/03/2014,48.59,-0.00061722
27/03/2014,48.62,-0.0067644
26/03/2014,48.95,-0.00671895
25/03/2014,49.28,0.001218274
24/03/2014,49.22,-0.01492264
21/03/2014,49.96,0.004614313
20/03/2014,49.73,0.003020846
19/03/2014,49.58,-0.011231566
18/03/2014,50.14,0.003196167
17/03/2014,49.98,0.017560245
14/03/2014,49.11,-0.004266998
13/03/2014,49.32,0.001014302
12/03/2014,49.27,-0.006675457
11/03/2014,49.6,-0.00402415
10/03/2014,49.8,0.004830927
07/03/2014,49.56,0.005665738
06/03/2014,49.28,0.007332008
05/03/2014,48.92,0.000613434
04/03/2014,48.89,0.025270607
03/03/2014,47.67,-0.010226532
28/02/2014,48.16,0.003119478
27/02/2014,48.01,0.008786667
26/02/2014,47.59,-0.004821307
25/02/2014,47.82,-0.00521432
24/02/2014,48.07,0.002290952
21/02/2014,47.96,-0.002914847
20/02/2014,48.1,0.011079867
19/02/2014,47.57,-0.004823329
18/02/2014,47.8,0.00272337
14/02/2014,47.67,0.008003413
13/02/2014,47.29,0.009134424
12/02/2014,46.86,0.002992095
11/02/2014,46.72,0.018143046
10/02/2014,45.88,0
07/02/2014,45.88,0.032789823
06/02/2014,44.4,-0.003597126
05/02/2014,44.56,-0.000224391
04/02/2014,44.57,0.000897868
03/02/2014,44.53,-0.026153973
31/01/2014,45.71,-0.013040828
30/01/2014,46.31,0.013040828
29/01/2014,45.71,-0.00458366
28/01/2014,45.92,0.005459125
27/01/2014,45.67,-0.015211071
24/01/2014,46.37,-0.028488321
23/01/2014,47.71,-0.019305218
22/01/2014,48.64,0.002470154
21/01/2014,48.52,0.000412286
17/01/2014,48.5,-0.000824402
16/01/2014,48.54,0.004335714
15/01/2014,48.33,0.003316065
14/01/2014,48.17,0.016325185
13/01/2014,47.39,-0.016740295
10/01/2014,48.19,-0.007442664
09/01/2014,48.55,0.008273056
08/01/2014,48.15,0.004370909
07/01/2014,47.94,0.007117468
06/01/2014,47.6,-0.005238357
03/01/2014,47.85,0.002720521
02/01/2014,47.72,-0.013322429
31/12/2013,48.36,0.003106557
30/12/2013,48.21,-0.001658031
27/12/2013,48.29,-0.000827986
26/12/2013,48.33,0.000827986
24/12/2013,48.29,0.004150245
23/12/2013,48.09,-0.000831428
20/12/2013,48.13,0.001247401
19/12/2013,48.07,0
18/12/2013,48.07,0.018052547
17/12/2013,47.21,-0.003594464
16/12/2013,47.38,0.002747545
13/12/2013,47.25,-0.001480385
12/12/2013,47.32,-0.001056078
11/12/2013,47.37,-0.009454845
10/12/2013,47.82,-0.010194617
09/12/2013,48.31,0.005812763
06/12/2013,48.03,0.017431923
05/12/2013,47.2,-0.000423639
04/12/2013,47.22,-0.003804697
03/12/2013,47.4,-0.002528446
02/12/2013,47.52,0.00147415
29/11/2013,47.45,-0.00273598
27/11/2013,47.58,0.001682794
26/11/2013,47.5,-0.003782312
25/11/2013,47.68,-0.005438206
22/11/2013,47.94,0.003133816
21/11/2013,47.79,0.014543412
20/11/2013,47.1,-0.001061008
19/11/2013,47.15,-0.002330263
18/11/2013,47.26,-0.000211573
15/11/2013,47.27,0.006579669
14/11/2013,46.96,0.011996716
13/11/2013,46.4,0.003237995
12/11/2013,46.25,-0.011821739
11/11/2013,46.8,0.01420295
08/11/2013,46.14,0.010457612
07/11/2013,45.66,-0.010890981
06/11/2013,46.16,0.011110015
05/11/2013,45.65,-0.003498801
04/11/2013,45.81,-0.00261609
01/11/2013,45.93,0.002834407
31/10/2013,45.8,-0.008912134
30/10/2013,46.21,-0.003240794
29/10/2013,46.36,0.000647319
28/10/2013,46.33,-0.004952104
25/10/2013,46.56,0.011448446
24/10/2013,46.03,0.00479095
23/10/2013,45.81,-0.005008176
22/10/2013,46.04,0.011139135
21/10/2013,45.53,0
18/10/2013,45.53,0.005064417
17/10/2013,45.3,0.008423903
16/10/2013,44.92,0.024108411
15/10/2013,43.85,0.003884387
14/10/2013,43.68,0.009661911
11/10/2013,43.26,0.00300961
10/10/2013,43.13,0.017778246
09/10/2013,42.37,-0.006117666
08/10/2013,42.63,-0.007943967
07/10/2013,42.97,-0.013177858
04/10/2013,43.54,0.007145357
03/10/2013,43.23,-0.01104221
02/10/2013,43.71,0.002519759
01/10/2013,43.6,0.001147447
30/09/2013,43.55,-0.004810455
27/09/2013,43.76,-0.004787425
26/09/2013,43.97,-0.001590729
25/09/2013,44.04,-0.004531045
24/09/2013,44.24,-0.003384862
23/09/2013,44.39,0.003610927
20/09/2013,44.23,0.002263469
19/09/2013,44.13,0.007506006
18/09/2013,43.8,0.024498567
17/09/2013,42.74,0.000702165
16/09/2013,42.71,0.007048901
13/09/2013,42.41,-0.000942729
12/09/2013,42.45,0.003303448
11/09/2013,42.31,0.00307729
10/09/2013,42.18,0.005944614
09/09/2013,41.93,0.01489696
06/09/2013,41.31,-0.001209629
05/09/2013,41.36,-0.004342588
04/09/2013,41.54,0
03/09/2013,41.54,0.007490672
30/08/2013,41.23,-0.007009092
29/08/2013,41.52,0.008951312
28/08/2013,41.15,0.000729306
27/08/2013,41.12,-0.023315562
26/08/2013,42.09,-0.00992916
23/08/2013,42.51,-0.004927852
22/08/2013,42.72,0.018188762
21/08/2013,41.95,-0.006889206
20/08/2013,42.24,0.014066271
19/08/2013,41.65,-0.001679262
16/08/2013,41.72,0.003601877
15/08/2013,41.57,-0.012906489
14/08/2013,42.11,0.003330165
13/08/2013,41.97,0.004058738
12/08/2013,41.8,-0.002389487
09/08/2013,41.9,-0.000954199
08/08/2013,41.94,0.00645858
07/08/2013,41.67,-0.00812624
06/08/2013,42.01,-0.004749475
05/08/2013,42.21,-0.006611594
02/08/2013,42.49,-0.000470588
01/08/2013,42.51,0.015169762
31/07/2013,41.87,0.002870129
30/07/2013,41.75,0.001198322
29/07/2013,41.7,-0.006930366
26/07/2013,41.99,0.003578675
25/07/2013,41.84,0.007436762
24/07/2013,41.53,-0.004804237
23/07/2013,41.73,-0.00382684
22/07/2013,41.89,0.002150795
19/07/2013,41.8,-0.000717446
18/07/2013,41.83,0.009125904
17/07/2013,41.45,-0.00433318
16/07/2013,41.63,0.001442308
15/07/2013,41.57,-0.001922615
12/07/2013,41.65,-0.004073325
11/07/2013,41.82,0.023223105
10/07/2013,40.86,0.000489596
09/07/2013,40.84,0.00122504
