Date,Close,SEE
04/04/2014,32.38,-0.023501768
03/04/2014,33.15,-0.00900907
02/04/2014,33.45,0.014453729
01/04/2014,32.97,0.003037669
31/03/2014,32.87,0.041620914
28/03/2014,31.53,0.005087451
27/03/2014,31.37,0.003832646
26/03/2014,31.25,-0.022778587
25/03/2014,31.97,0.005331673
24/03/2014,31.8,-0.013431406
21/03/2014,32.23,-0.005569321
20/03/2014,32.41,0.007743573
19/03/2014,32.16,-0.020009903
18/03/2014,32.81,0.007648806
17/03/2014,32.56,0.014540086
14/03/2014,32.09,-0.008996493
13/03/2014,32.38,-0.011972514
12/03/2014,32.77,-0.010623867
11/03/2014,33.12,-0.004518761
10/03/2014,33.27,-0.007486186
07/03/2014,33.52,-0.031422347
06/03/2014,34.59,0.004055625
05/03/2014,34.45,-0.005788728
04/03/2014,34.65,0.025132825
03/03/2014,33.79,-0.007371403
28/02/2014,34.04,0.017185608
27/02/2014,33.46,0.004192878
26/02/2014,33.32,-0.008963311
25/02/2014,33.62,0.023473843
24/02/2014,32.84,0.001828711
21/02/2014,32.78,0.001832062
20/02/2014,32.72,0.009828089
19/02/2014,32.4,-0.007686433
18/02/2014,32.65,0.01170685
14/02/2014,32.27,-0.004329011
13/02/2014,32.41,0.01335631
12/02/2014,31.98,-0.023486865
11/02/2014,32.74,0.020988425
10/02/2014,32.06,0.019210164
07/02/2014,31.45,0.051879191
06/02/2014,29.86,-0.033912715
05/02/2014,30.89,0.015661005
04/02/2014,30.41,0.01257462
03/02/2014,30.03,-0.037900649
31/01/2014,31.19,-0.00639184
30/01/2014,31.39,0.010568553
29/01/2014,31.06,0.001611085
28/01/2014,31.01,-0.002898086
27/01/2014,31.1,0.000965096
24/01/2014,31.07,-0.032301732
23/01/2014,32.09,-0.028871784
22/01/2014,33.03,0.001818182
21/01/2014,32.97,-0.002726035
17/01/2014,33.06,-0.018580097
16/01/2014,33.68,0.002080548
15/01/2014,33.61,-0.003267491
14/01/2014,33.72,0.013435043
13/01/2014,33.27,-0.022292497
10/01/2014,34.02,0.00796817
09/01/2014,33.75,-0.008849615
08/01/2014,34.05,0.003530454
07/01/2014,33.93,0.008583744
06/01/2014,33.64,-0.000891398
03/01/2014,33.67,-0.001780416
02/01/2014,33.73,-0.009442384
31/12/2013,34.05,-0.00234673
30/12/2013,34.13,0.009124419
27/12/2013,33.82,-0.004131018
26/12/2013,33.96,-0.000883002
24/12/2013,33.99,0.026835242
23/12/2013,33.09,0.004239861
20/12/2013,32.95,0.012213892
19/12/2013,32.55,0.00523642
18/12/2013,32.38,0.020278343
17/12/2013,31.73,-0.007848102
16/12/2013,31.98,0.004073325
13/12/2013,31.85,0.009463793
12/12/2013,31.55,0.005084218
11/12/2013,31.39,-0.035365914
10/12/2013,32.52,0.012065112
09/12/2013,32.13,-0.012065112
06/12/2013,32.52,0.033138387
05/12/2013,31.46,-0.014829109
04/12/2013,31.93,0.000626566
03/12/2013,31.91,0.003138735
02/12/2013,31.81,-0.009386802
29/11/2013,32.11,-0.007137346
27/11/2013,32.34,0.001857011
26/11/2013,32.28,0.003413502
25/11/2013,32.17,0.01219718
22/11/2013,31.78,-0.010330347
21/11/2013,32.11,0.041328195
20/11/2013,30.81,-0.020241655
19/11/2013,31.44,-0.007920206
18/11/2013,31.69,-0.001261432
15/11/2013,31.73,0.024566557
14/11/2013,30.96,0.004856736
13/11/2013,30.81,-0.002916871
12/11/2013,30.9,-0.006451635
11/11/2013,31.1,0.009043989
08/11/2013,30.82,0.010437146
07/11/2013,30.5,-0.019481136
06/11/2013,31.1,-0.000321492
05/11/2013,31.11,-0.014044278
04/11/2013,31.55,0.010835033
01/11/2013,31.21,0.033559103
31/10/2013,30.18,-0.005617064
30/10/2013,30.35,0.062190922
29/10/2013,28.52,0.015548016
28/10/2013,28.08,-0.008863735
25/10/2013,28.33,-0.004226847
24/10/2013,28.45,0.014516098
23/10/2013,28.04,-0.012757083
22/10/2013,28.4,0.016329791
21/10/2013,27.94,0.000357974
18/10/2013,27.93,0.001791794
17/10/2013,27.88,0.02874493
16/10/2013,27.09,-0.002580647
15/10/2013,27.16,-0.005873732
14/10/2013,27.32,-0.004382768
11/10/2013,27.44,0.00182382
10/10/2013,27.39,0.029642778
09/10/2013,26.59,-0.004877143
08/10/2013,26.72,0.006006024
07/10/2013,26.56,-0.019019779
04/10/2013,27.07,0.009651151
03/10/2013,26.81,-0.011496511
02/10/2013,27.12,-0.013187004
01/10/2013,27.48,0.010609209
