Date,Close,AXP
04/04/2014,89.17,-0.020095042
03/04/2014,90.98,0.006395435
02/04/2014,90.4,-0.008481628
01/04/2014,91.17,0.012582947
31/03/2014,90.03,-0.004764816
28/03/2014,90.46,0.005209211
27/03/2014,89.99,0.003673814
26/03/2014,89.66,-0.013074979
25/03/2014,90.84,-0.001869673
24/03/2014,91.01,-0.005588137
21/03/2014,91.52,-0.001855794
20/03/2014,91.69,0.010525259
19/03/2014,90.73,-0.009434032
18/03/2014,91.59,0.00360952
17/03/2014,91.26,0.012015798
14/03/2014,90.17,-0.00575032
13/03/2014,90.69,-0.024076548
12/03/2014,92.9,-0.003224076
11/03/2014,93.2,-0.005350468
10/03/2014,93.7,-0.001706121
07/03/2014,93.86,0.003628993
06/03/2014,93.52,0.014866158
05/03/2014,92.14,-0.005087968
04/03/2014,92.61,0.028920846
03/03/2014,89.97,-0.014455424
28/02/2014,91.28,0.010904993
27/02/2014,90.29,0.006221551
26/02/2014,89.73,-0.002004009
25/02/2014,89.91,-0.000111216
24/02/2014,89.92,0.013096958
21/02/2014,88.75,-0.002925295
20/02/2014,89.01,0.001911724
19/02/2014,88.84,-0.002024065
18/02/2014,89.02,0.000224694
14/02/2014,89,0.001124227
13/02/2014,88.9,-0.001348921
12/02/2014,89.02,0.004954965
11/02/2014,88.58,0.002713092
10/02/2014,88.34,0.015284888
07/02/2014,87,0.015171986
06/02/2014,85.69,0.023258235
05/02/2014,83.72,-0.003338901
04/02/2014,84,0.013664362
03/02/2014,82.86,-0.025734086
31/01/2014,85.02,-0.018644213
30/01/2014,86.62,0.012429735
29/01/2014,85.55,-0.012660602
28/01/2014,86.64,0.010675432
27/01/2014,85.72,-0.01424707
24/01/2014,86.95,-0.025211419
23/01/2014,89.17,-0.021742398
22/01/2014,91.13,0.005943227
21/01/2014,90.59,-0.00418595
17/01/2014,90.97,0.035696098
16/01/2014,87.78,-0.005340012
15/01/2014,88.25,0.012887217
14/01/2014,87.12,0.001493309
13/01/2014,86.99,-0.017774195
10/01/2014,88.55,-0.003719781
09/01/2014,88.88,-0.005945387
08/01/2014,89.41,0.000559378
07/01/2014,89.36,-0.003797614
06/01/2014,89.7,-0.000445831
03/01/2014,89.74,0.003236791
02/01/2014,89.45,-0.014208253
31/12/2013,90.73,0.012644357
30/12/2013,89.59,0.004474781
27/12/2013,89.19,0.002132556
26/12/2013,89,0.003489226
24/12/2013,88.69,0.004293792
23/12/2013,88.31,0.008414878
20/12/2013,87.57,0.013335064
19/12/2013,86.41,0.004872399
18/12/2013,85.99,0.022105544
17/12/2013,84.11,-0.004862727
16/12/2013,84.52,0.009988192
13/12/2013,83.68,0.004551451
12/12/2013,83.3,-0.007177064
11/12/2013,83.9,-0.016431601
10/12/2013,85.29,-0.005378872
09/12/2013,85.75,-0.002096925
06/12/2013,85.93,0.016308216
05/12/2013,84.54,0.000473261
04/12/2013,84.5,-0.001300929
03/12/2013,84.61,-0.008004751
02/12/2013,85.29,-0.005961792
29/11/2013,85.8,0.002450553
27/11/2013,85.59,0.005858934
26/11/2013,85.09,0.005893464
25/11/2013,84.59,0.008786568
22/11/2013,83.85,-0.001191895
21/11/2013,83.95,0.020457994
20/11/2013,82.25,-0.002549938
19/11/2013,82.46,0.001456311
18/11/2013,82.34,-0.005571045
15/11/2013,82.8,0.011051178
14/11/2013,81.89,0.00551033
13/11/2013,81.44,0.005047096
12/11/2013,81.03,-0.004555817
11/11/2013,81.4,-0.004657442
08/11/2013,81.78,0.010571703
07/11/2013,80.92,-0.01472058
06/11/2013,82.12,0.002682601
05/11/2013,81.9,-0.000366233
04/11/2013,81.93,-0.002803341
01/11/2013,82.16,0.004391322
31/10/2013,81.8,-0.015767458
30/10/2013,83.1,-0.006716264
29/10/2013,83.66,0.010816113
28/10/2013,82.76,0.001814114
25/10/2013,82.61,0.020916915
24/10/2013,80.9,0.003343035
23/10/2013,80.63,-0.002972138
22/10/2013,80.87,0.005828751
21/10/2013,80.4,-0.001491425
18/10/2013,80.52,0.003608091
17/10/2013,80.23,0.049962483
16/10/2013,76.32,0.014119124
15/10/2013,75.25,-0.010838065
