Date,Close,PEP
04/04/2014,82.59,-0.003867074
03/04/2014,82.91,0.002173389
02/04/2014,82.73,-0.001811485
01/04/2014,82.88,-0.007452853
31/03/2014,83.5,0.006608615
28/03/2014,82.95,0.004954992
27/03/2014,82.54,-0.003990091
26/03/2014,82.87,0.005687678
25/03/2014,82.4,0.006208554
24/03/2014,81.89,-0.003048225
21/03/2014,82.14,0.003414637
20/03/2014,81.86,0.006003816
19/03/2014,81.37,-0.00710265
18/03/2014,81.95,-0.001219512
17/03/2014,82.05,0.012879663
14/03/2014,81,-0.009828089
13/03/2014,81.8,-0.004269601
12/03/2014,82.15,-0.008001983
11/03/2014,82.81,0.013127696
10/03/2014,81.73,0.002082186
07/03/2014,81.56,0.002823994
06/03/2014,81.33,0.002708694
05/03/2014,81.11,0.003210672
04/03/2014,80.85,0.016587024
03/03/2014,79.52,-0.00689269
28/02/2014,80.07,0.012567716
27/02/2014,79.07,0.005325907
26/02/2014,78.65,-0.007347385
25/02/2014,79.23,0.004427305
24/02/2014,78.88,0.008402341
21/02/2014,78.22,0.002688346
20/02/2014,78.01,0.011733743
19/02/2014,77.1,-0.01391058
18/02/2014,78.18,0.001151853
14/02/2014,78.09,-0.0202821
13/02/2014,79.69,-0.022336206
12/02/2014,81.49,0.002949492
11/02/2014,81.25,0.008032172
10/02/2014,80.6,0.004725789
07/02/2014,80.22,0.010400445
06/02/2014,79.39,-0.00037781
05/02/2014,79.42,0.007583454
04/02/2014,78.82,0.003176825
03/02/2014,78.57,-0.022526593
31/01/2014,80.36,-0.008919782
30/01/2014,81.08,0.010663461
29/01/2014,80.22,-0.025841231
28/01/2014,82.32,0.003163405
27/01/2014,82.06,0.007706932
24/01/2014,81.43,-0.012205693
23/01/2014,82.43,-0.005082296
22/01/2014,82.85,-0.000844544
21/01/2014,82.92,0.008720986
17/01/2014,82.2,-0.007997135
16/01/2014,82.86,-0.000361991
15/01/2014,82.89,0.006293135
14/01/2014,82.37,0
13/01/2014,82.37,-0.013625339
10/01/2014,83.5,0.007814888
09/01/2014,82.85,-0.004696258
08/01/2014,83.24,-0.002879081
07/01/2014,83.48,0.014479017
06/01/2014,82.28,0.000486263
03/01/2014,82.24,0.001703785
02/01/2014,82.1,-0.010179438
31/12/2013,82.94,0.000361773
30/12/2013,82.91,0.002415168
27/12/2013,82.71,0.003148465
26/12/2013,82.45,0.004985116
24/12/2013,82.04,0.002196462
23/12/2013,81.86,0.000610986
20/12/2013,81.81,0.0018352
19/12/2013,81.66,0.002943343
18/12/2013,81.42,0.011860777
17/12/2013,80.46,-0.006688988
16/12/2013,81,0.000864571
13/12/2013,80.93,-0.0043154
12/12/2013,81.28,-0.016956795
11/12/2013,82.67,0.003271342
10/12/2013,82.4,-0.003513239
09/12/2013,82.69,-0.00554753
06/12/2013,83.15,0.015147215
05/12/2013,81.9,-0.009115833
04/12/2013,82.65,-0.013818183
03/12/2013,83.8,0.00119403
02/12/2013,83.7,-0.009039072
29/11/2013,84.46,0.000473709
27/11/2013,84.42,0.000355429
26/11/2013,84.39,-0.01154584
25/11/2013,85.37,-0.00432471
22/11/2013,85.74,0.00140056
21/11/2013,85.62,0.005739401
20/11/2013,85.13,-0.001877714
19/11/2013,85.29,-0.006660848
18/11/2013,85.86,-0.00197801
15/11/2013,86.03,-0.004175856
14/11/2013,86.39,0.005106197
13/11/2013,85.95,0.003613268
12/11/2013,85.64,0.002221054
11/11/2013,85.45,-0.004670178
08/11/2013,85.85,0.006427133
07/11/2013,85.3,-0.016048722
06/11/2013,86.68,0.024052531
05/11/2013,84.62,0.002958757
04/11/2013,84.37,-0.002249453
01/11/2013,84.56,0.005573688
31/10/2013,84.09,-0.007464047
30/10/2013,84.72,-0.009047709
29/10/2013,85.49,0.010346947
28/10/2013,84.61,0.015003854
25/10/2013,83.35,0.009765585
24/10/2013,82.54,-0.009525604
23/10/2013,83.33,-0.001319182
22/10/2013,83.44,0.012906518
21/10/2013,82.37,-0.00773979
18/10/2013,83.01,0.005193562
17/10/2013,82.58,0.003760999
16/10/2013,82.27,0.020507872
15/10/2013,80.6,-0.006060999
14/10/2013,81.09,0.003211465
11/10/2013,80.83,0.001733532
10/10/2013,80.69,0.01485763
09/10/2013,79.5,0.007195638
08/10/2013,78.93,-0.001645674
07/10/2013,79.06,-0.00705826
04/10/2013,79.62,0.002263298
03/10/2013,79.44,-0.001509434
02/10/2013,79.56,-0.003262646
01/10/2013,79.82,0.004017078
30/09/2013,79.5,-0.008766493
27/09/2013,80.2,-0.004230441
26/09/2013,80.54,0.00410576
25/09/2013,80.21,-0.00410576
24/09/2013,80.54,-0.005942082
23/09/2013,81.02,-0.00884744
20/09/2013,81.74,-0.000978234
19/09/2013,81.82,-0.012872066
18/09/2013,82.88,0.014829493
17/09/2013,81.66,0.007868248
16/09/2013,81.02,0.008677382
13/09/2013,80.32,0.005618343
12/09/2013,79.87,0.000250438
11/09/2013,79.85,0.005273744
10/09/2013,79.43,0.000629683
09/09/2013,79.38,0.00151286
06/09/2013,79.26,0.002400052
05/09/2013,79.07,-0.005800773
04/09/2013,79.53,-0.008389206
03/09/2013,80.2,0.005877588
30/08/2013,79.73,0.005029559
29/08/2013,79.33,-0.000504096
28/08/2013,79.37,0.003913405
27/08/2013,79.06,-0.00793705
26/08/2013,79.69,-0.002005767
23/08/2013,79.85,0.007542462
22/08/2013,79.25,0.002147414
