Date,Close,KIM
04/04/2014,21.88,0.001372056
03/04/2014,21.85,0.001373941
02/04/2014,21.82,0.001834863
01/04/2014,21.78,-0.00458086
31/03/2014,21.88,0.001829827
28/03/2014,21.84,0.003669729
27/03/2014,21.76,0.004144606
26/03/2014,21.67,-0.009187019
25/03/2014,21.87,0.00642204
24/03/2014,21.73,-0.005507127
21/03/2014,21.85,0.011507607
20/03/2014,21.6,0.00464038
19/03/2014,21.5,-0.021169682
18/03/2014,21.96,0.004106782
17/03/2014,21.87,-0.000457143
14/03/2014,21.88,-0.003649639
13/03/2014,21.96,-0.001819837
12/03/2014,22,0.0040993
11/03/2014,21.91,0.000913242
10/03/2014,21.89,-0.00728269
07/03/2014,22.05,-0.014855101
06/03/2014,22.38,-0.011108757
05/03/2014,22.63,0.000441989
04/03/2014,22.62,0.016492462
03/03/2014,22.25,-0.000449337
28/02/2014,22.26,0.011748892
27/02/2014,22,0.000454649
26/02/2014,21.99,0.003188342
25/02/2014,21.92,0.008705668
24/02/2014,21.73,-0.002757355
21/02/2014,21.79,0.004138888
20/02/2014,21.7,-0.004597709
19/02/2014,21.8,0.002756088
18/02/2014,21.74,0.002763705
14/02/2014,21.68,0.008802466
13/02/2014,21.49,0.008880638
12/02/2014,21.3,0.000939408
11/02/2014,21.28,0.007073833
10/02/2014,21.13,0.009510295
07/02/2014,20.93,0.008155478
06/02/2014,20.76,0.011628038
05/02/2014,20.52,0.00292826
04/02/2014,20.46,0
03/02/2014,20.46,-0.021755753
31/01/2014,20.91,0.003353297
30/01/2014,20.84,0.013526776
29/01/2014,20.56,-0.00678626
28/01/2014,20.7,0.01166194
27/01/2014,20.46,-0.011178731
24/01/2014,20.69,-0.009141271
23/01/2014,20.88,-0.009532961
22/01/2014,21.08,0.005708864
21/01/2014,20.96,0.009587801
17/01/2014,20.76,-0.006242517
16/01/2014,20.89,0.006242517
15/01/2014,20.76,0.008222537
14/01/2014,20.59,0.017144677
13/01/2014,20.24,-0.015686596
10/01/2014,20.56,0.01420548
09/01/2014,20.27,0.005937672
08/01/2014,20.15,0.00697214
07/01/2014,20.01,0.003003005
06/01/2014,19.95,0.000501379
03/01/2014,19.94,0.008562127
02/01/2014,19.77,0.001012146
31/12/2013,19.75,-0.009072643
30/12/2013,19.93,-0.009985105
27/12/2013,20.13,-0.006437259
26/12/2013,20.26,0.007431295
24/12/2013,20.11,-0.000497141
23/12/2013,20.12,-0.004463186
20/12/2013,20.21,-0.000494682
19/12/2013,20.22,-0.012288186
18/12/2013,20.47,0.018240585
17/12/2013,20.1,0.009497697
16/12/2013,19.91,-0.005509656
13/12/2013,20.02,-0.008950831
12/12/2013,20.2,0.000495172
11/12/2013,20.19,-0.032646017
10/12/2013,20.86,-0.011913412
09/12/2013,21.11,0.006177259
06/12/2013,20.98,0.011987677
05/12/2013,20.73,0.001448226
04/12/2013,20.7,0.001934237
03/12/2013,20.66,0
02/12/2013,20.66,0.001937985
29/11/2013,20.62,-0.012530284
27/11/2013,20.88,0.000479042
26/11/2013,20.87,0.001438504
25/11/2013,20.84,-0.003353297
22/11/2013,20.91,-0.002388346
21/11/2013,20.96,0.003824096
20/11/2013,20.88,-0.010955099
19/11/2013,21.11,-0.002838223
18/11/2013,21.17,-0.000472255
15/11/2013,21.18,0.002836881
14/11/2013,21.12,0.00951482
13/11/2013,20.92,0.003351691
12/11/2013,20.85,-0.00907144
11/11/2013,21.04,0.00190295
08/11/2013,21,-0.005698021
07/11/2013,21.12,-0.012235447
06/11/2013,21.38,0.000935892
05/11/2013,21.36,-0.013947227
04/11/2013,21.66,0.004627496
01/11/2013,21.56,0.003717476
31/10/2013,21.48,-0.007883185
30/10/2013,21.65,0.008348843
29/10/2013,21.47,-0.006036703
28/10/2013,21.6,-0.000462856
25/10/2013,21.61,0.018212037
24/10/2013,21.22,0.008994143
23/10/2013,21.03,0
22/10/2013,21.03,0.013885787
21/10/2013,20.74,-0.005769247
18/10/2013,20.86,-0.003350087
17/10/2013,20.93,0.007192551
16/10/2013,20.78,0.023862832
15/10/2013,20.29,-0.011271866
14/10/2013,20.52,0.006355436
11/10/2013,20.39,0.009857152
