Date,Close,ALXN
04/04/2014,142.5,-0.060979564
03/04/2014,151.46,-0.019937255
02/04/2014,154.51,-0.005421817
01/04/2014,155.35,0.020945217
31/03/2014,152.13,0.017974286
28/03/2014,149.42,-0.011180737
27/03/2014,151.1,0.003646614
26/03/2014,150.55,-0.016665406
25/03/2014,153.08,0.021926648
24/03/2014,149.76,-0.06482644
21/03/2014,159.79,-0.083238911
20/03/2014,173.66,-0.012929982
19/03/2014,175.92,-0.028136138
18/03/2014,180.94,0.016438116
17/03/2014,177.99,0.015342674
14/03/2014,175.28,0.000627764
13/03/2014,175.17,-0.015464664
12/03/2014,177.9,0.011021731
11/03/2014,175.95,-0.022756987
10/03/2014,180,0.068695297
07/03/2014,168.05,-0.002970888
06/03/2014,168.55,-0.014431115
05/03/2014,171,-0.014168162
04/03/2014,173.44,0.005840361
03/03/2014,172.43,-0.025027793
28/02/2014,176.8,-0.039318603
27/02/2014,183.89,0.007204092
26/02/2014,182.57,-0.000328587
25/02/2014,182.63,-0.005024862
24/02/2014,183.55,0.011121269
21/02/2014,181.52,0.013644895
20/02/2014,179.06,-0.007511093
19/02/2014,180.41,-0.00359643
18/02/2014,181.06,0.00282072
14/02/2014,180.55,0.003050897
13/02/2014,180,0.023268627
12/02/2014,175.86,0.008164709
11/02/2014,174.43,0.025078228
10/02/2014,170.11,0.038837505
07/02/2014,163.63,0.038817445
06/02/2014,157.4,0.018660967
05/02/2014,154.49,-0.011071887
04/02/2014,156.21,0.009907441
03/02/2014,154.67,-0.025910831
31/01/2014,158.73,-0.02039169
30/01/2014,162,0.191773493
29/01/2014,133.73,0.005398529
28/01/2014,133.01,0.024275438
27/01/2014,129.82,-0.029000742
24/01/2014,133.64,-0.031669191
23/01/2014,137.94,-0.020166459
22/01/2014,140.75,-0.012917979
21/01/2014,142.58,0.0203344
17/01/2014,139.71,-0.000715512
16/01/2014,139.81,0.020084478
15/01/2014,137.03,-0.004586997
14/01/2014,137.66,0.052571093
13/01/2014,130.61,-0.034613342
10/01/2014,135.21,0.008467074
09/01/2014,134.07,0.000522252
08/01/2014,134,0.006213292
07/01/2014,133.17,0.02516956
06/01/2014,129.86,-0.01422151
03/01/2014,131.72,-0.012973481
02/01/2014,133.44,0.004205473
31/12/2013,132.88,0.001355524
30/12/2013,132.7,0.008551912
27/12/2013,131.57,-0.010133178
26/12/2013,132.91,0.014016974
24/12/2013,131.06,0.001221561
23/12/2013,130.9,0.001988224
20/12/2013,130.64,-0.000841654
19/12/2013,130.75,0.016191564
18/12/2013,128.65,0.044423497
17/12/2013,123.06,-0.005833755
16/12/2013,123.78,0.000727361
13/12/2013,123.69,0.010892645
12/12/2013,122.35,0.00614882
11/12/2013,121.6,-0.02957477
10/12/2013,125.25,-0.004699519
09/12/2013,125.84,0.003103986
06/12/2013,125.45,0.026493755
05/12/2013,122.17,-0.003921253
04/12/2013,122.65,0.00400311
03/12/2013,122.16,-0.013335699
02/12/2013,123.8,-0.005638356
29/11/2013,124.5,0.026533664
27/11/2013,121.24,-0.005428984
26/11/2013,121.9,-0.002212481
25/11/2013,122.17,-0.005062062
22/11/2013,122.79,0.012208763
21/11/2013,121.3,0.018639248
20/11/2013,119.06,0.005136637
19/11/2013,118.45,-0.02105165
18/11/2013,120.97,-0.025303341
15/11/2013,124.07,0.033604211
14/11/2013,119.97,0.028492438
13/11/2013,116.6,0.007575794
12/11/2013,115.72,-0.003881155
11/11/2013,116.17,-0.010787776
08/11/2013,117.43,0.028767155
07/11/2013,114.1,-0.019269757
06/11/2013,116.32,-0.02730603
05/11/2013,119.54,-0.027964044
04/11/2013,122.93,-0.003491822
01/11/2013,123.36,0.003329141
31/10/2013,122.95,-0.02052799
30/10/2013,125.5,0.01137924
29/10/2013,124.08,-0.000966651
28/10/2013,124.2,-0.007779644
25/10/2013,125.17,0.070066274
24/10/2013,116.7,0.062221869
23/10/2013,109.66,0.017849402
22/10/2013,107.72,0.017228891
21/10/2013,105.88,-0.023798426
18/10/2013,108.43,-0.021531714
17/10/2013,110.79,-0.001533258
16/10/2013,110.96,0.024818792
15/10/2013,108.24,0.011428696
14/10/2013,107.01,-0.016680954
11/10/2013,108.81,0.001287475
10/10/2013,108.67,0.029794406
09/10/2013,105.48,-0.027952276
08/10/2013,108.47,-0.054013846
07/10/2013,114.49,-0.016888636
04/10/2013,116.44,0.019249706
03/10/2013,114.22,-0.021908483
02/10/2013,116.75,-0.005466828
01/10/2013,117.39,0.010533174
30/09/2013,116.16,-0.002235791
27/09/2013,116.42,0.003872805
26/09/2013,115.97,0.025501338
25/09/2013,113.05,-0.004765276
24/09/2013,113.59,0.009642253
23/09/2013,112.5,-0.010170329
20/09/2013,113.65,-0.003338021
19/09/2013,114.03,-0.016524989
18/09/2013,115.93,0.014685062
17/09/2013,114.24,0.004386357
16/09/2013,113.74,-0.003510623
13/09/2013,114.14,-0.000613094
12/09/2013,114.21,-0.00462984
11/09/2013,114.74,0.009809152
10/09/2013,113.62,0.007420529
09/09/2013,112.78,0.010876456
06/09/2013,111.56,-0.008301766
05/09/2013,112.49,-0.001421338
04/09/2013,112.65,0.02226104
03/09/2013,110.17,0.022118095
30/08/2013,107.76,-0.014189863
29/08/2013,109.3,0.016047564
28/08/2013,107.56,0.017443939
27/08/2013,105.7,-0.013998068
26/08/2013,107.19,0.016271227
23/08/2013,105.46,-0.012345254
22/08/2013,106.77,0.013673654
21/08/2013,105.32,0.002091057
20/08/2013,105.1,0.006395287
19/08/2013,104.43,-0.00544336
16/08/2013,105,-0.010892838
15/08/2013,106.15,-0.032805017
